"url","category_code","date_added","source","notes"
"http://168.am/","NEWS","2017-01-24","Berkman Klein",""
"http://1905.az/hy/","HAL","2017-01-24","Berkman Klein",""
"http://2rd.am/","POLT","2017-01-24","Berkman Klein",""
"http://a1plus.wordpress.com/","NEWS","2014-04-15","citizenlab",""
"http://aarhus.am/?lang=en","ENV","2017-01-24","Berkman Klein",""
"http://aawue.am/","WOMR","2017-01-24","Berkman Klein",""
"http://ace.aua.am/","ENV","2017-01-24","Berkman Klein",""
"http://acra.am/","DEV","2017-01-24","Berkman Klein",""
"http://acrpc.am/","FEXP","2017-01-24","Berkman Klein",""
"http://adl.hayway.org/","POLR","2014-04-15","citizenlab",""
"http://adventist.am/","REL","2017-01-24","Berkman Klein","7th Day Adventist"
"http://am.game-game.com/","GAME","2017-01-24","Berkman Klein",""
"http://am.igames9.com/","GAME","2017-01-24","Berkman Klein",""
"http://am.zgamz.org/hair/","GAME","2017-01-24","Berkman Klein",""
"http://anyhd.xxx/hy/find/______________/","PORN","2017-01-24","Berkman Klein",""
"http://ap.rau.am/","NEWS","2014-04-15","citizenlab",""
"http://ara-ashjian.blogspot.com/","NEWS","2014-04-15","citizenlab",""
"http://aramazd.livejournal.com/","NEWS","2014-04-15","citizenlab",""
"http://araratnews.am/","NEWS","2017-01-24","Berkman Klein",""
"http://armcredit.am/","DEV","2017-01-24","Berkman Klein",""
"http://armcrimenews.com/","NEWS","2017-01-24","Berkman Klein",""
"http://armenia.az/","HAL","2017-01-24","Berkman Klein",""
"http://armfem.com/hy/","WOMR","2017-01-24","Berkman Klein","Feminism"
"http://armhels.com/","HUMR","2017-01-24","Berkman Klein",""
"http://armtimes.com/hy","NEWS","2017-01-24","Berkman Klein",""
"http://arocom.do.am/stuff/","GAME","2017-01-24","Berkman Klein",""
"http://arordiukht.do.am/","REL","2017-01-24","Berkman Klein","Order of the Children of Ari (Neopaganism)"
"http://artsakhpress.am/arm/","FREL","2017-01-24","Berkman Klein","News from Nagorno Karabakh"
"http://asekose.am/","NEWS","2017-01-24","Berkman Klein",""
"http://atheist.am/","REL","2017-01-24","Berkman Klein","Atheism"
"http://atour.com/","MINR","2017-01-24","Berkman Klein","Assyrians"
"http://awhhe.am/","ENV","2017-01-24","Berkman Klein",""
"http://ayla.am/","HUMR","2017-01-24","Berkman Klein",""
"http://azad-hye.blogspot.com/","NEWS","2014-04-15","citizenlab",""
"http://babyplace.am/","XED","2017-01-24","Berkman Klein",""
"http://beeline.am/","COMM","2014-04-15","citizenlab",""
"http://bigsex.tv/hy/","PORN","2017-01-24","Berkman Klein",""
"http://blognews.am/arm/","NEWS","2017-01-24","Berkman Klein",""
"http://brightarmenia.am/","POLT","2017-01-24","Berkman Klein",""
"http://c-i.am/","FREL","2017-01-24","Berkman Klein","Political research"
"http://capital.com.am/","DEV","2017-01-24","Berkman Klein",""
"http://civilnet.am/","NEWS","2014-04-15","citizenlab",""
"http://coalitionagainstviolence.org/","WOMR","2017-01-24","Berkman Klein",""
"http://crm.aua.am/","ENV","2017-01-24","Berkman Klein",""
"http://dem.am/","POLT","2017-01-24","Berkman Klein",""
"http://disabilityinfo.am/","MINR","2017-01-24","Berkman Klein","Disability"
"http://diskurs.am/","HAL","2017-01-24","Berkman Klein",""
"http://ditord.wordpress.com/","NEWS","2014-04-15","citizenlab",""
"http://epress.am/","NEWS","2014-04-15","citizenlab",""
"http://erohay.com/","PROV","2017-01-24","Berkman Klein","Collection of provocative films and images"
"http://euro-atlantic.am/","FREL","2017-01-24","Berkman Klein","Advocacy Association for closer Armenia-NATO ties"
"http://ev.am/","DEV","2017-01-24","Berkman Klein",""
"http://evconsulting.com/","DEV","2017-01-24","Berkman Klein",""
"http://foi.am/en/","NEWS","2014-04-15","citizenlab",""
"http://freda.am/","DEV","2017-01-24","Berkman Klein",""
"http://gayarmenia.aglany.org/","LGBT","2014-04-15","citizenlab",""
"http://gayarmenia.blogspot.am/","GAYL","2017-01-24","Berkman Klein",""
"http://gayarmenia.blogspot.com/","LGBT","2014-04-15","citizenlab",""
"http://genats-lehayim.blogspot.com/","NEWS","2014-04-15","citizenlab",""
"http://gorispress.am/","FEXP","2017-01-24","Berkman Klein",""
"http://greenlane.am/home/","ENV","2017-01-24","Berkman Klein",""
"http://hanun.am/","HATE","2017-01-24","Berkman Klein","Pan-Armenian Parent Committee - homophobia and misogyny"
"http://hay.do.am/","FREL","2017-01-24","Berkman Klein","Portal about ""liberated territories"""
"http://hayazn.am/","POLT","2017-01-24","Berkman Klein",""
"http://hayfeminist.blogspot.am/","WOMR","2017-01-24","Berkman Klein","Feminism"
"http://hcav.am/","HUMR","2017-01-24","Berkman Klein",""
"http://hetq.am/arm/","NEWS","2017-01-24","Berkman Klein",""
"http://hhk.am/","POLR","2014-04-15","citizenlab",""
"http://himnadir.am/","POLT","2017-01-24","Berkman Klein",""
"http://humanrightstv.am/index.php/arm/","HUMR","2017-01-24","Berkman Klein",""
"http://hyebiz.com/","DATE","2017-01-24","Berkman Klein",""
"http://hyedating.com/","DATE","2017-01-24","Berkman Klein",""
"http://iararat.wordpress.com/","NEWS","2014-04-15","citizenlab",""
"http://ichd.org/","FREL","2017-01-24","Berkman Klein","Analytical think tank"
"http://icsrd.info.am/","DEV","2017-01-24","Berkman Klein",""
"http://iditord.org/","POLT","2017-01-24","Berkman Klein","local Ushahidi implementation for elections"
"http://ikin.am/?page_id=19","WOMR","2017-01-24","Berkman Klein","Site for young, disabled women"
"http://javakhkmedia.com/","FREL","2017-01-24","Berkman Klein","News about Javakhk (majority-Armenian region of Georgia)"
"http://karabakh.org/","FREL","2017-01-24","Berkman Klein","Portal about Nagorno-Karabakh (Azeri Perspective)"
"http://karabakh.travel/hy/","FREL","2017-01-24","Berkman Klein","Portal about Nagorno-Karabakh"
"http://karabakhfacts.com/","FREL","2017-01-24","Berkman Klein","Portal about Nagorno-Karabakh"
"http://khosq.am/","FEXP","2017-01-24","Berkman Klein",""
"http://kornelij.livejournal.com/tag/blog","NEWS","2014-04-15","citizenlab",""
"http://ladynews.am/arm/","WOMR","2017-01-24","Berkman Klein","News for women with info on women's health, families, psychology"
"http://lehastan.am/?lang=am&p=539","MINR","2017-01-24","Berkman Klein","Poles"
"http://lragir.am/","NEWS","2014-04-15","citizenlab",""
"http://lurer.com/","NEWS","2017-01-24","Berkman Klein",""
"http://markgrigorian.livejournal.com/","NEWS","2014-04-15","citizenlab",""
"http://med.news.am/arm/","PUBH","2017-01-24","Berkman Klein","Only page on medical news in Armenian"
"http://media-center.am/","FEXP","2017-01-24","Berkman Klein",""
"http://medialab.am/","HAL","2017-01-24","Berkman Klein",""
"http://miaynser.do.am/stuff/","GAME","2017-01-24","Berkman Klein",""
"http://mmkarmenia.blogspot.am/","GAYL","2017-01-24","Berkman Klein",""
"http://news.armeniancatholic.org/","REL","2017-01-24","Berkman Klein","Armenian Catholic Church"
"http://newsbook.am/","NEWS","2017-01-24","Berkman Klein",""
"http://nifnif.info/","GAME","2017-01-24","Berkman Klein",""
"http://oek.am/","POLT","2017-01-24","Berkman Klein",""
"http://onxaxer.do.am/","GAME","2017-01-24","Berkman Klein",""
"http://organize-now.idhr.am/","HUMR","2017-01-24","Berkman Klein",""
"http://panarmenian.net/","NEWS","2014-04-15","citizenlab",""
"http://parliamentmonitoring.am/","FEXP","2017-01-24","Berkman Klein",""
"http://peacedialogue.am/en/","FREL","2017-01-24","Berkman Klein","NGO Uniting Peace Activists from the region"
"http://pharaon.am/en/","GMB","2017-01-24","Berkman Klein",""
"http://pigh.livejournal.com/","HATE","2014-04-15","citizenlab",""
"http://pinkarmenia.blogspot.com/","HUMR","2014-04-15","citizenlab",""
"http://pinkarmenia.hiv/","PUBH","2017-01-24","Berkman Klein","HIV"
"http://politik.am/","NEWS","2017-01-24","Berkman Klein",""
"http://porrno.info/","PORN","2017-01-24","Berkman Klein",""
"http://protestant.am/","REL","2017-01-24","Berkman Klein","Protestant"
"http://publicverdict.org/","HUMR","2017-01-24","Berkman Klein",""
"http://qbhima.blogspot.com/","NEWS","2014-04-15","citizenlab",""
"http://queeringyerevan.blogspot.am/","GAYL","2017-01-24","Berkman Klein",""
"http://queeringyerevan.blogspot.com/","LGBT","2014-04-15","citizenlab",""
"http://razm.info/","FREL","2017-01-24","Berkman Klein","Military news and info"
"http://realelections.am/","POLT","2017-01-24","Berkman Klein",""
"http://realnews.am/","NEWS","2017-01-24","Berkman Klein",""
"http://regional-studies.org/","FREL","2017-01-24","Berkman Klein","Analytical think tank"
"http://religions.am/","REL","2017-01-24","Berkman Klein","Site for all religions in Armenia"
"http://reporter.am/","NEWS","2014-04-15","citizenlab",""
"http://rusarminfo.ru/language/en/","HAL","2017-01-24","Berkman Klein","Russian-Armenian relations - pro-Kremlin historical analysis"
"http://safesoldiers.am/","HAL","2017-01-24","Berkman Klein",""
"http://set.am/","ENV","2017-01-24","Berkman Klein",""
