url,category_code,subcategory_code,secondary_category_code,date_added,source,notes
http://1001roteirinhos.com.br/,CULTR,,,2016-06-08,"Citizen Lab, OONI",Blog about travel
https://7bitcasino.com/en/,GMB,,,2016-06-08,"Citizen Lab, OONI",
http://abril.com.br/,NEWS,,,2016-06-08,"Citizen Lab, OONI",
http://aliancacidada.wordpress.com/,REL,,,2016-06-08,"Citizen Lab, OONI",Blog about religion
http://altamiroborges.blogspot.com.br/2016/07/mais-um-crime-da-revista-quantoe.html,POLR,,,2016-07-17,"Citizen Lab, OONI",
http://americanas.com.br/,COMM,,,2016-06-08,"Citizen Lab, OONI",
http://apublica.org/2015/06/a-nova-roupa-da-direita/,POLR,,,2016-07-17,"Citizen Lab, OONI",
http://atribunadigital.globo.com/,NEWS,,,2016-06-08,"Citizen Lab, OONI",
http://baixaki.com.br/,SRCH,,,2016-06-08,"Citizen Lab, OONI","This is a downloading site, like a tech portal."
http://blog.almanaquesaude.com.br/,PUBH,,,2016-06-08,"Citizen Lab, OONI",Blog about health
http://blog.artedonamoro.com/,CULTR,,,2016-06-08,"Citizen Lab, OONI",Blog about relationships
http://blog.cancaonova.com/felipeaquino/,REL,,,2016-06-08,"Citizen Lab, OONI",Blog about religion
http://blog.jovempan.uol.com.br/fernandosampaio/,CULTR,,,2016-06-08,"Citizen Lab, OONI",Blog about sports
http://blog.tribunadonorte.com.br/heitorgregorio/fatima-bezerra-comanda-manifestacao-contra-michel-temer-no-pingo-da-mei-dia/,POLR,,,2016-06-10,"Citizen Lab, OONI",
http://blogdapimenta.wordpress.com/tag/cultura-geral/,CULTR,,,2016-06-08,"Citizen Lab, OONI",Blog about culture and entertainment
http://blogdojuca.uol.com.br/,CULTR,,,2016-06-08,"Citizen Lab, OONI",Blog about sports
http://blogdonavarro.com/,CULTR,,,2016-06-08,"Citizen Lab, OONI",Blog about sports
http://blogjunto.com/turistaprofissional/,CULTR,,,2016-06-08,"Citizen Lab, OONI",Blog about travel
http://blogs.diariodepernambuco.com.br/economia/,ECON,,,2016-06-08,"Citizen Lab, OONI",Blog about economy in Brazil
http://blogs.estadao.com.br/radar-politico/,POLR,,,2016-06-08,"Citizen Lab, OONI",Blog about politics in Brazil
http://blogs.lancenet.com.br/maurobeting/,CULTR,,,2016-06-08,"Citizen Lab, OONI",Blog about sports
http://blogs.oglobo.globo.com/miriam-leitao/,ECON,,,2016-06-08,"Citizen Lab, OONI",Blog about economy in Brazil
http://boasaude.uol.com.br/blogboasaude/,PUBH,,,2016-06-08,"Citizen Lab, OONI",Blog about health
http://br.esportes.yahoo.com/blogs/blog-do-neto/,CULTR,,,2016-06-08,"Citizen Lab, OONI",Blog about sports
http://cartamaior.com.br/?/Editoria/Midia/Quanto-custa-o-oligopolio-midiatico-/12/36427,POLR,,,2016-07-17,"Citizen Lab, OONI",
https://casino.netbet.co.uk/,GMB,,,2016-06-08,"Citizen Lab, OONI",
https://catracalivre.com.br/geral/cidadania/indicacao/manifestacoes-contra-michel-temer-sao-registradas-em-todo-brasil-e-portugal/,POLR,,,2016-06-10,"Citizen Lab, OONI",
http://colunas.revistaepoca.globo.com/guilhermefiuza/,POLR,,,2016-06-08,"Citizen Lab, OONI",Blog about politics in Brazil
http://colunistas.ig.com.br/fabiosormani/,CULTR,,,2016-06-08,"Citizen Lab, OONI",Blog about sports
http://colunistas.ig.com.br/guilhermebarros/,ECON,,,2016-06-08,"Citizen Lab, OONI",Blog about economy in Brazil
http://correios.com.br/,COMM,,,2016-06-08,"Citizen Lab, OONI",Not sure about the category here.
http://csdoamor.tumblr.com/,CULTR,,,2016-06-08,"Citizen Lab, OONI",Blog about relationships
http://curapelanatureza.com.br/,HOST,,,2016-06-08,"Citizen Lab, OONI",Not sure about the category here.
http://dialogopetroleiro.com.br/,POLR,,,2016-07-17,"Citizen Lab, OONI",
http://diariodonordeste.globo.com/,NEWS,,,2016-06-08,"Citizen Lab, OONI",
http://dinheirama.com/,ECON,,,2016-06-08,"Citizen Lab, OONI",Blog about economy in Brazil
http://encontrocomobispo.blogspot.com.br/,REL,,,2016-06-08,"Citizen Lab, OONI",Blog about religion
http://enigmasbiblicos.blogspot.com.br/,REL,,,2016-06-08,"Citizen Lab, OONI",Blog about religion
http://epimenta.wordpress.com/,CULTR,,,2016-06-08,"Citizen Lab, OONI",Blog about culture and entertainment
http://esportes.r7.com/blogs/alvaro-jose/,CULTR,,,2016-06-08,"Citizen Lab, OONI",Blog about sports
http://euamompb.blogspot.com.br/,CULTR,,,2016-06-08,"Citizen Lab, OONI",Blog about music
http://exame.abril.com.br/rede-de-blogs/blog-do-management/,ECON,,,2016-06-08,"Citizen Lab, OONI",Blog about economy in Brazil
http://exame.abril.com.br/rede-de-blogs/sidnei-oliveira/,ECON,,,2016-06-08,"Citizen Lab, OONI",Blog about economy in Brazil
http://extra.globo.com/,NEWS,,,2016-06-08,"Citizen Lab, OONI",
http://facehunter.blogspot.com.br/,CULTR,,,2016-06-08,"Citizen Lab, OONI",Blog about fashion
https://favelawatchblog.com/,HUMR,,,2016-06-08,"Citizen Lab, OONI",
http://fazenda.gov.br/,GOVT,,,2016-06-08,"Citizen Lab, OONI",
http://fernandorodrigues.blogosfera.uol.com.br/2016/06/08/desconhecido-michel-temer-tem-rejeicao-de-28-contra-624-de-dilma/,POLR,,,2016-06-10,"Citizen Lab, OONI",
http://filmesonlinegratis.net/,MMED,,,2016-06-08,"Citizen Lab, OONI",
http://flagrasamadores.net/,PORN,,,2016-06-08,"Citizen Lab, OONI",
http://folha.arcauniversal.com.br/,NEWS,,,2016-06-08,"Citizen Lab, OONI",Religion-themed newspaper
http://folha.uol.com.br/,NEWS,,,2016-06-08,"Citizen Lab, OONI",
http://folhapolitica.jusbrasil.com.br/noticias/126272111/ponde-diz-que-novo-decreto-de-dilma-e-golpe-de-estado-totalitario-e-faz-alerta-assista,POLR,,,2016-06-10,"Citizen Lab, OONI",
http://g1.globo.com/al/alagoas/noticia/2016/06/maceio-tem-manifestacao-contra-o-presidente-em-exercicio-michel-temer.html,POLR,,,2016-06-10,"Citizen Lab, OONI",
http://g1.globo.com/mato-grosso-do-sul/noticia/2016/06/ato-de-professores-de-ms-por-direitos-vira-manifesto-contra-michel-temer.html,POLR,,,2016-06-10,"Citizen Lab, OONI",
http://g1.globo.com/politica/processo-de-impeachment-de-dilma/noticia/2016/06/dilma-reafirma-ao-stf-tese-de-golpe-no-processo-de-impeachment.html,POLR,,,2016-06-10,"Citizen Lab, OONI",
http://g1.globo.com/pr/parana/noticia/2016/06/centenas-protestam-contra-michel-temer-pelas-ruas-de-curitiba.html,POLR,,,2016-06-10,"Citizen Lab, OONI",
http://globo.com/,SRCH,,,2016-06-08,"Citizen Lab, OONI",
http://gospelhomeblog.blogspot.com.br/,REL,,,2016-06-08,"Citizen Lab, OONI",Blog about religion
http://hipervitaminose.com.br/,CULTR,,,2016-06-08,"Citizen Lab, OONI",Blog about relationships
http://hotsites.atribuna.com.br/atribuna/blogdepolitica/,POLR,,,2016-06-08,"Citizen Lab, OONI",Blog about politics in Brazil
http://imirante.globo.com/oestadoma/,NEWS,,,2016-06-08,"Citizen Lab, OONI",
http://intervozes.org.br/,POLR,,,2016-07-17,"Citizen Lab, OONI",
http://itgirls.com.br/,CULTR,,,2016-06-08,"Citizen Lab, OONI",Blog about fashion
http://jconline.ne10.uol.com.br/,NEWS,,,2016-06-08,"Citizen Lab, OONI",
http://jcrs.uol.com.br/,NEWS,,,2016-06-08,"Citizen Lab, OONI",
http://jdia.leiaonline.com.br/,NEWS,,,2016-06-08,"Citizen Lab, OONI",
http://jornal.ofluminense.com.br/,NEWS,,,2016-06-08,"Citizen Lab, OONI",
http://jornaldehoje.com.br/,NEWS,,,2016-06-08,"Citizen Lab, OONI",
http://jornalggn.com.br/noticia/lava-jato-atica-a-%E2%80%9Ctiragem%E2%80%9D-na-cacada-ao-lula-por-ricardo-amaral,POLR,,,2016-07-17,"Citizen Lab, OONI",
http://juliapetit.com.br/category/home/,CULTR,,,2016-06-08,"Citizen Lab, OONI",Blog about fashion
http://latintubeporn.com/,PORN,,,2016-06-08,"Citizen Lab, OONI",
http://lifeinrocinha.blogspot.de/,CULTR,,,2016-06-08,"Citizen Lab, OONI",
http://marcelo.marques.zip.net/,POLR,,,2016-06-08,"Citizen Lab, OONI",Blog about politics in Brazil
http://maringa.odiario.com/,NEWS,,,2016-06-08,"Citizen Lab, OONI",
https://medium.com/democratize-m%C3%ADdia/movimentos-contra-a-corrup%C3%A7%C3%A3o-planejam-manifesta%C3%A7%C3%A3o-por-fica-temer-97523e06688e#.qey5dmjke,POLR,,,2016-06-10,"Citizen Lab, OONI",
http://minhametadeemagrecimento.blogspot.com.br/,PUBH,,,2016-06-08,"Citizen Lab, OONI",Blog about health
http://movethatjukebox.com/,CULTR,,,2016-06-08,"Citizen Lab, OONI",Blog about music
http://musicadobrasil.blogs.sapo.pt/,CULTR,,,2016-06-08,"Citizen Lab, OONI",Blog about music
http://musicapopulardobrasil.blogspot.com.br/,CULTR,,,2016-06-08,"Citizen Lab, OONI",Blog about music
http://nao2nao1.com.br/,CULTR,,,2016-06-08,"Citizen Lab, OONI",Blog about relationships
http://naoconto.com/,PORN,,,2016-06-08,"Citizen Lab, OONI",
"http://noticias.terra.com.br/brasil/em-que-pe-esta-o-pedido-de-impeachment-contra-michel-temer,a633a296c378f9ee874f331246e45231h6svj3mt.html",POLR,,,2016-06-10,"Citizen Lab, OONI",
http://noticias.uol.com.br/ultimas-noticias/agencia-estado/2016/05/22/manifestantes-contra-temer-se-reunem-no-centro-do-rio.htm,POLR,,,2016-06-10,"Citizen Lab, OONI",
http://novinhasdozapzap.com/,PORN,,,2016-06-08,"Citizen Lab, OONI",
http://obarnabe.blogspot.com.br/,POLR,,,2016-06-08,"Citizen Lab, OONI",Blog about politics in Brazil
http://odia.ig.com.br/,NEWS,,,2016-06-08,"Citizen Lab, OONI",
http://oficinadeestilo.com.br/blog/,CULTR,,,2016-06-08,"Citizen Lab, OONI",Blog about fashion
http://oglobo.globo.com/,NEWS,,,2016-06-08,"Citizen Lab, OONI",
http://oglobo.globo.com/blogs/arnaldo/,CULTR,,,2016-06-08,"Citizen Lab, OONI",Blog about culture and entertainment
http://oglobo.globo.com/pais/noblat/,POLR,,,2016-06-08,"Citizen Lab, OONI",Blog about politics in Brazil
http://olx.com.br/,COMM,,,2016-06-08,"Citizen Lab, OONI",
http://ontests.me/,CULTR,,,2016-06-08,"Citizen Lab, OONI",
http://oskaras.com/,REL,,,2016-06-08,"Citizen Lab, OONI",Blog about religion
http://padrepauloricardo.org/,REL,,,2016-06-08,"Citizen Lab, OONI",Blog about religion
http://papelpop.com/,CULTR,,,2016-06-08,"Citizen Lab, OONI",Blog about music
http://paranaportal.uol.com.br/cidades/cidades-paranaenses-tem-protestos-contra-governo-michel-temer/,POLR,,,2016-06-10,"Citizen Lab, OONI",
http://parintins24hs.com.br/manifestacoes-contra-michel-temer-podera-ocorrer-no-bumbodromo/,POLR,,,2016-06-10,"Citizen Lab, OONI",
http://planofeminino.com.br/,PUBH,,,2016-06-08,"Citizen Lab, OONI",Blog about health
http://pornocarioca.com/,PORN,,,2016-06-08,"Citizen Lab, OONI",
http://portal-entretenimento.blogspot.com.br/,CULTR,,,2016-06-08,"Citizen Lab, OONI",Blog about culture and entertainment
http://portal.cruzeirodosul.inf.br/,NEWS,,,2016-06-08,"Citizen Lab, OONI",
http://prosaepolitica.com.br/,POLR,,,2016-06-08,"Citizen Lab, OONI",Blog about politics in Brazil
http://queroficarrico.com/blog/,ECON,,,2016-06-08,"Citizen Lab, OONI",Blog about economy in Brazil
http://recicloteca.org.br/blog/,CULTR,,,2016-06-08,"Citizen Lab, OONI",Blog about culture and entertainment
http://revistaogrito.com/doisminutosemeio/,CULTR,,,2016-06-08,"Citizen Lab, OONI",Blog about culture and entertainment
http://revistaogrito.com/papodequadrinho/,CULTR,,,2016-06-08,"Citizen Lab, OONI",Blog about culture and entertainment
http://riotimesonline.com/,NEWS,,,2016-06-08,"Citizen Lab, OONI",
http://riotimesonline.com/brazil-news/tag/drug-trafficking/,ALDR,,,2016-06-08,"Citizen Lab, OONI",
http://sairdobrasil.com/,CULTR,,,2016-06-08,"Citizen Lab, OONI",Blog about travel
http://spankbang.com/,PORN,,,2016-06-08,"Citizen Lab, OONI",
http://temp069.blogspot.com.br/p/historico-revoltados-on-line-2014-ate.html,POLR,,,2016-07-17,"Citizen Lab, OONI",
http://terceirotempo.bol.uol.com.br/,CULTR,,,2016-06-08,"Citizen Lab, OONI",Blog about sports
https://theintercept.com/2016/05/23/new-political-earthquake-in-brazil-is-it-now-time-for-media-outlets-to-call-this-a-coup/,POLR,,,2016-06-10,"Citizen Lab, OONI",
http://topfreepornvideos.com/,PORN,,,2016-06-08,"Citizen Lab, OONI",
http://toprealvideos.com/,PORN,,,2016-06-08,"Citizen Lab, OONI",
http://tribunadoceara.uol.com.br/,NEWS,,,2016-06-08,"Citizen Lab, OONI",
http://tribunadonorte.com.br/,NEWS,,,2016-06-08,"Citizen Lab, OONI",
https://twitter.com/i/moments/723279129823592448,POLR,,,2016-06-10,"Citizen Lab, OONI",
http://ultimosegundo.ig.com.br/politica/2016-05-22/com-receio-de-manifestacoes-seguranca-de-temer-fecha-vias-de-acesso-a-sua-casa.html,POLR,,,2016-06-10,"Citizen Lab, OONI",
http://ultimosegundo.ig.com.br/politica/2016-05-22/manifestantes-cercam-praca-vizinha-a-casa-de-michel-temer-em-sao-paulo.html,POLR,,,2016-06-10,"Citizen Lab, OONI",
http://uol.com.br/,SRCH,,,2016-06-08,"Citizen Lab, OONI",
http://uolesporte.blogosfera.uol.com.br/,CULTR,,,2016-06-08,"Citizen Lab, OONI",Blog about sports
http://veja.abril.com.br/noticia/brasil/dilma-reafirma-ao-stf-que-considera-o-impeachment-um-golpe,POLR,,,2016-06-10,"Citizen Lab, OONI",
http://veja.abril.com.br/noticia/brasil/protestos-contra-impeachment-e-a-favor-de-dilma-reunem-dezenas-de-milhares-em-todos-os-estados,POLR,,,2016-06-10,"Citizen Lab, OONI",
http://viajandocompimpolhos.wordpress.com/,CULTR,,,2016-06-08,"Citizen Lab, OONI",Blog about travel
http://www.acrehoje.com/,NEWS,,,2016-06-08,"Citizen Lab, OONI",
http://www.acritica.com.br/,NEWS,,,2016-06-08,"Citizen Lab, OONI",
http://www.advivo.com.br/luisnassif,ECON,,,2016-06-08,"Citizen Lab, OONI",Blog about economy in Brazil
http://www.aepet.org.br/noticias/pagina/13627/Petroleiros-vo-parar-em-agosto-contra-desmonte-da-Petrobrs,POLR,,,2016-07-17,"Citizen Lab, OONI",
http://www.afolhadigital.com.br/,NEWS,,,2016-06-08,"Citizen Lab, OONI",
http://www.agazeta-acre.com.br/,NEWS,,,2016-06-08,"Citizen Lab, OONI",
http://www.agora-online.com.br/,NEWS,,,2016-06-08,"Citizen Lab, OONI",
http://www.agora.uol.com.br/,NEWS,,,2016-06-08,"Citizen Lab, OONI",
http://www.ajanelalaranja.com/,CULTR,,,2016-06-08,"Citizen Lab, OONI",Blog about travel
