"url","category_code","date_added","source","notes"
"http://2ch.hk/","PORN","2017-01-24","Berkman Klein",""
"http://2ip.ru/","ANON","2017-01-24","Berkman Klein","VPN likely to be blocked on the days of mass protests when major Social Media sites are blocked"
"http://3a-pycb.livejournal.com/","HAL","2017-01-24","Berkman Klein",""
"http://6ott-mit-uns.livejournal.com/","HAL","2017-01-24","Berkman Klein",""
"http://a-osipoff.livejournal.com/","GOVT","2014-04-15","citizenlab",""
"http://a-privalov.livejournal.com/","GOVT","2014-04-15","citizenlab",""
"http://a-sadov.livejournal.com/","GOVT","2014-04-15","citizenlab",""
"http://abclider.com/","PORN","2017-01-24","Berkman Klein",""
"http://abctv.kz/ru","NEWS","2017-01-24","Berkman Klein","Quality journalism website that covers wide range of topics and provides independent analysis of current events"
"http://abzas.net/","NEWS","2017-01-24","Berkman Klein",""
"http://adengo.ru/","FEXP","2017-01-24","Berkman Klein",""
"http://adilet.kg/","HUMR","2017-01-24","Berkman Klein",""
"http://ags.demokratia.ru/","POLR","2014-04-15","citizenlab",""
"http://ahmedphoto.org/","HAL","2017-01-24","Berkman Klein",""
"http://aif.az/","MISC","2017-01-24","Berkman Klein","NGO - Azerbaijan Internet Forum, on multimedia and tecnology development"
"http://aimak.kg/","NEWS","2017-01-24","Berkman Klein",""
"http://akipress.org/","NEWS","2017-01-24","Berkman Klein",""
"http://alcomarket.kz/","ALDR","2017-01-24","Berkman Klein","Legal alcohol sale site. All these websites made sure I'm 21 before opening the homepage"
"http://almatinki.com/","PORN","2017-01-24","Berkman Klein","Popular local website that offers sexual services and is currently blocked in Kazakhstan"
"http://almazfm.kg/","POLT","2017-01-24","Berkman Klein",""
"http://alstrangers.livejournal.com/","MILX","2017-01-24","Berkman Klein",""
"http://altaygeyushev.blogspot.com/","POLT","2017-01-24","Berkman Klein","opposition movement"
"http://alverchi.blogspot.com/","DEV","2017-01-24","Berkman Klein",""
"http://amnesty.org.ru/","HUMR","2014-04-15","citizenlab",""
"http://anaitiss.livejournal.com/","GOVT","2014-04-15","citizenlab",""
"http://anonymizer.report.ru/","ANON","2014-04-15","citizenlab",""
"http://anonymizer.report.ru/_5FolderID_21226_.html","ANON","2014-04-15","citizenlab",""
"http://another-kashin.livejournal.com/","GOVT","2014-04-15","citizenlab",""
"http://ansardin.wordpress.com/","MILX","2017-01-24","Berkman Klein",""
"http://antijob.mahost.org/","POLR","2014-04-15","citizenlab",""
"http://aral-kz.narod.ru/","ENV","2017-01-24","Berkman Klein","Website on environmental disaster of Aral Sea in Kazakhstan"
"http://arastunorujlu.blogspot.com/","POLT","2017-01-24","Berkman Klein","politican"
"http://arestant.msk.ru/","HUMR","2014-04-15","citizenlab",""
"http://arifhajili.blogspot.com/","POLT","2017-01-24","Berkman Klein","head of opposition party"
"http://artem.gayclub.ru/","LGBT","2014-04-15","citizenlab",""
"http://arxiv.ruckp.org/","ALDR","2017-01-24","Berkman Klein",""
"http://avtomobil.az/","COMM","2017-01-24","Berkman Klein",""
"http://awvestnik.narod.ru/","HUMR","2014-04-15","citizenlab",""
"http://azartplay.com/","GMB","2017-01-24","Berkman Klein",""
"http://azatlyk-vatan.blogspot.com/","MINR","2017-01-24","Berkman Klein",""
"http://azecology.az/az/","ENV","2017-01-24","Berkman Klein",""
"http://azerireport.com/","FEXP","2017-01-24","Berkman Klein",""
"http://azeritoday.com/","NEWS","2017-01-24","Berkman Klein",""
"http://azeritoday.com/archives/category/qarabag","FREL","2017-01-24","Berkman Klein",""
"http://azh.kz/ru/","NEWS","2017-01-24","Berkman Klein","Popular regional newspaper"
"http://bambuser.com/","MISCTOOLS","2017-01-24","Berkman Klein","Livestreaming app that has been blocked in Kazakhstan since 2012 as it allows users to livestream protests or police brutality"
"http://baptist.kz/","REL","2017-01-24","Berkman Klein","Kazakh Baptist Church Union website"
"http://beon.ru/","HOST","2014-04-15","citizenlab",""
"http://bestmaza.biz/","ALDR","2017-01-24","Berkman Klein",""
"http://better.kz/","POLT","2017-01-24","Berkman Klein",""
"http://betway.com/","GMB","2017-01-24","Berkman Klein",""
"http://birduino.kg/","HUMR","2017-01-24","Berkman Klein",""
"http://bitchx.ru/","NEWS","2014-04-15","citizenlab",""
"http://blanki.net.ua/","COMM","2017-01-24","Berkman Klein",""
"http://blog.kp.ru/","HOST","2014-04-15","citizenlab",""
"http://blog.megaforum.ru/","HOST","2014-04-15","citizenlab",""
"http://blog.ru/","HOST","2014-04-15","citizenlab",""
"http://blogos.kz/","PLATFORM","2017-01-24","Berkman Klein",""
"http://blogroll.ru/","HOST","2014-04-15","citizenlab",""
"http://blogs.gde.ru/","HOST","2014-04-15","citizenlab",""
"http://blogs.mail.ru/","HOST","2014-04-15","citizenlab",""
"http://blogs.privet.ru/","HOST","2014-04-15","citizenlab",""
"http://blogs.yandex.ru/","HOST","2014-04-15","citizenlab",""
"http://blogseo.ru/","HOST","2014-04-15","citizenlab",""
"http://blogsochi.ru/","FEXP","2017-01-24","Berkman Klein",""
"http://bnews.kz/ru","NEWS","2017-01-24","Berkman Klein","Pro-government website that is unlikely to be blocked"
"http://borgie.net/","MISC","2017-01-24","Berkman Klein",""
"http://box.az/","EMAIL","2017-01-24","Berkman Klein",""
"http://bride.ru/","DATE","2014-04-15","citizenlab",""
"http://buddhism.org.ru/","REL","2014-04-15","citizenlab",""
"http://buddhist.ru/","REL","2014-04-15","citizenlab",""
"http://bulbul.kg/","PLATFORM","2017-01-24","Berkman Klein",""
"http://buro-perevodov14.jino-net.ru/","COMT","2014-04-15","citizenlab",""
"http://ca-news.org/","NEWS","2017-01-24","Berkman Klein",""
"http://ca-news.org/country:1/","NEWS","2017-01-24","Berkman Klein","Central Asian news organization that has reportedly been inaccessible in Kazakhstan"
"http://cabar.asia/en/kyrgyzstan-2/","POLT","2017-01-24","Berkman Klein",""
"http://camplatform.org/","HUMR","2017-01-24","Berkman Klein",""
"http://cannabisnature.com/","ALDR","2017-01-24","Berkman Klein",""
"http://capital.kg/","DEV","2017-01-24","Berkman Klein",""
"http://casino.kz/","GMB","2017-01-24","Berkman Klein","Legal online gambling site"
"http://casinoaladdin.kz/?lang=ru","GMB","2017-01-24","Berkman Klein","Legal online gambling site unlikely to be blocked"
"http://casinoflamingo.kz/","GMB","2017-01-24","Berkman Klein","Legal online gambling site"
"http://casinogrand.kz/","GMB","2017-01-24","Berkman Klein",""
"http://caspianbarrel.org/","DEV","2017-01-24","Berkman Klein",""
"http://cavidaga.net/","HAL","2017-01-24","Berkman Klein",""
"http://chadayev.livejournal.com/","GOVT","2014-04-15","citizenlab",""
"http://chertog.livejournal.com/","GOVT","2014-04-15","citizenlab",""
"http://childrenscinema.com/","MISC","2017-01-24","Berkman Klein",""
"http://circassianculturalinstitute.org/circassians-protest-selection-sochi-2014-winter-olympics-venue-2/","HUMR","2017-01-24","Berkman Klein",""
"http://club.kz/","MISC","2017-01-24","Berkman Klein","Website with the list of night clubs in Kazakhstan"
"http://cnis-baku.org/","FREL","2017-01-24","Berkman Klein","Center for National and International Studies"
"http://comingoutspb.ru/en/en-home","GAYL","2017-01-24","Berkman Klein",""
"http://community.livejournal.com/","NEWS","2014-04-15","citizenlab",""
"http://community.livejournal.com/dpni_ru","POLR","2014-04-15","citizenlab",""
"http://community.livejournal.com/openrussia/","POLR","2014-04-15","citizenlab",""
"http://compromat.ru/","NEWS","2014-04-15","citizenlab",""
"http://cones.tv/","COMM","2017-01-24","Berkman Klein",""
"http://contracept.newlist.ru/","XED","2014-04-15","citizenlab",""
"http://cumhuriyyet.info/index.php","NEWS","2017-01-24","Berkman Klein","STOPPED DUE TO CUT OF FUNDING."
"http://czeczenia-rus.blog.onet.pl/","MILX","2017-01-24","Berkman Klein",""
"http://daidostup.me/","ANON","2017-01-24","Berkman Klein","VPN allegedly blocked in Kazakhstan"
"http://damochka.ru/","GRP","2014-04-15","citizenlab",""
"http://dating.ru/","DATE","2014-04-15","citizenlab",""
"http://datmob.net/","PROV","2017-01-24","Berkman Klein",""
"http://de-facto.kg/","POLT","2017-01-24","Berkman Klein",""
"http://deep21.sitecity.ru/","LGBT","2014-04-15","citizenlab",""
"http://delo.kg/","POLT","2017-01-24","Berkman Klein",""
"http://demos-center.ru/","POLR","2014-04-15","citizenlab",""
"http://diapazon.kz/","NEWS","2017-01-24","Berkman Klein","Independent regional newspaper that could potentially be blocked"
"http://diesel.elcat.kg/","COMM","2017-01-24","Berkman Klein",""
"http://dilmanc.az/","TRNS","2017-01-24","Berkman Klein",""
"http://diplomaticsecondpassport.com/","COMM","2017-01-24","Berkman Klein",""
