"url","category_code","date_added","source","notes"
"http://alerta.cat/","POLR","2017-09-25","user contribution","referendum in Catalonia"
"http://aniol.github.io/","POLR","2017-09-25","user contribution","referendum in Catalonia"
"http://cat.referendum.barcelona/","POLR","2017-09-25","user contribution","referendum in Catalonia"
"http://garantiespelreferendum.com/","POLR","2017-09-25","user contribution","referendum in Catalonia"
"http://gateway.ipfs.io/","POLR","2017-09-25","user contribution","referendum in Catalonia"
"http://nigeon.github.io/","POLR","2017-09-25","user contribution","referendum in Catalonia"
"http://ref1oct.cat/","POLR","2017-09-25","user contribution","referendum in Catalonia"
"http://ref1oct.net/","POLR","2017-09-25","user contribution","referendum in Catalonia"
"http://ref1oct.org/","POLR","2017-09-25","user contribution","referendum in Catalonia"
"http://referendum.cat/","POLR","2017-09-25","user contribution","referendum in Catalonia"
"http://referendum.enricpineda.cat/","POLR","2017-09-25","user contribution","referendum in Catalonia"
"http://referendum.pau.fm/","POLR","2017-09-25","user contribution","referendum in Catalonia"
"http://referendum.pirata.cat/","POLR","2017-09-25","user contribution","referendum in Catalonia"
"http://referendum.zalo.nyc/","POLR","2017-09-25","user contribution","referendum in Catalonia"
"http://www.marianorajoy.cat/","POLR","2017-09-25","user contribution","referendum in Catalonia"
"http://www.ref1oct.cat/","POLR","2017-09-25","user contribution","referendum in Catalonia"
"http://www.ref1oct.eu/","POLR","2017-09-25","user contribution","referendum in Catalonia"
"http://www.referendum.fun/","POLR","2017-09-25","user contribution","referendum in Catalonia"
"http://www.referendum.fyi/","POLR","2017-09-25","user contribution","referendum in Catalonia"
"http://www.referendum.legal/","POLR","2017-09-25","user contribution","referendum in Catalonia"
"http://www.referendum.lol/","POLR","2017-09-25","user contribution","referendum in Catalonia"
"http://www.referendum.love/","POLR","2017-09-25","user contribution","referendum in Catalonia"
"http://www.referendum.ninja/","POLR","2017-09-25","user contribution","referendum in Catalonia"
"http://www.referendum.observer/","POLR","2017-09-25","user contribution","referendum in Catalonia"
"http://www.referendum.party/","POLR","2017-09-25","user contribution","referendum in Catalonia"
"http://www.referendum.rip/","POLR","2017-09-25","user contribution","referendum in Catalonia"
"http://www.referendum.soy/","POLR","2017-09-25","user contribution","referendum in Catalonia"
"http://www.referendum.voto/","POLR","2017-09-25","user contribution","referendum in Catalonia"
"http://www.referendum.works/","POLR","2017-09-25","user contribution","referendum in Catalonia"
"http://www.referendumcat.eu/","POLR","2017-09-25","user contribution","referendum in Catalonia"
"https://marianorajoy.clash.cat/","POLR","2017-09-25","OONI","referendum in Catalonia"
"https://referendum.clash.cat/","POLR","2017-09-25","OONI","referendum in Catalonia"
