,URL,category_code,category_description
MENA,http://www.arabi21.com/,NEWS,MENA news
MENA,http://www.watanserb.com/,NEWS,MENA news
MENA,http://asrararabiya.com/,NEWS,MENA news
MENA,http://www.worldakhbar.com/,NEWS,MENA news
MENA,http://www.entaha.com/,NEWS,MENA news
MENA,http://www.raialyoum.com/,NEWS,MENA news
MENA,http://www.alquds.co.uk/,NEWS,MENA news
MENA,http://elaph.com/,NEWS,MENA news
MENA,http://www.ahewar.org/debat/nr.asp,NEWS,MENA news
MENA,http://www.ssrcaw.org/,NEWS,MENA news
MENA,http://n.annabaa.org/,NEWS,MENA news
MENA,http://www.alhayat.tv/,NEWS,MENA news
MENA,http://www.arabtimes.com/,NEWS,MENA news
MENA,http://www.alkhaleejaffair.com/,NEWS,MENA news
MENA,https://www.alwatanvoice.com/,NEWS,MENA news
MENA,http://www.almaaref.org/,NEWS,MENA news
MENA,http://al-marsd.com/,NEWS,MENA news
MENA,http://www.najdland.com/,NEWS,MENA news
MENA,http://www.shia-news.com/,NEWS,MENA news
MENA,http://www.bayynat.org/,NEWS,MENA news
MENA,http://www.noonpost.net/,NEWS,MENA news
MENA,http://www.ansarweb.net/,NEWS,MENA news
MENA,http://www.islamweb.net/mainpage/index.php,NEWS,MENA news
MENA,http://www.moheet.com/,NEWS,MENA news
MENA,http://www.sasapost.com/,NEWS,MENA news
MENA,http://alaraby.tv/,NEWS,MENA news
MENA,https://www.alaraby.co.uk/,NEWS,MENA news
MENA,www.alarabyaljadeed.co.uk,NEWS,MENA news
MENA,http://alwaght.com/,NEWS,MENA news
MENA,http://alwaienews.com/,NEWS,MENA news
MENA,http://thenewkhalij.org/,NEWS,MENA news
MENA,http://islamion.com/,NEWS,MENA news
MENA,http://islammemo.cc/,NEWS,MENA news
MENA,http://www.annabaa.org/,NEWS,MENA news
MENA,http://www.shiaweb.org/,NEWS,MENA news
MENA,http://www.islamonline.net/,NEWS,MENA news
