url,category_code,category_description
http://www.akhbar-alkhaleej.com/,NEWS,News and media
http://www.alayam.com/,NEWS,News and media
http://bna.bh/portal/main,NEWS,News and media
http://www.alwatannews.net/,NEWS,News and media
http://www.alwasatnews.com/,NEWS,News and media
http://www.bna.bh/portal/main,NEWS,News and media
http://www.gdnonline.com/,NEWS,News and media
www.twentyfoursevennews.com,NEWS,News and media
www.urdudailynews.com,NEWS,News and media
http://www.albiladpress.com/,NEWS,News and media
http://culture.gov.bh/ar/,NEWS,News and media
www.bahrain.bh,NEWS,News and media
https://www.bahrainsms.net/ar/,NEWS,News and media
http://www.mia.gov.bh/,NEWS,News and media
http://www.bahrainpa.org/,NEWS,News and media
http://www.manamapost.com/,NEWS,News and media
https://www.boc.bh/ar,NEWS,News and media
http://alwefaq.net/cms/,NEWS,News and media
http://www.gulfeyes.net/,NEWS,News and media
http://www.newsofbahrain.com/,NEWS,News and media
http://www.moe.gov.bh/,NEWS,News and media
http://www.bahrain.com/,NEWS,News and media
http://alnabanews.com/,NEWS,News and media
http://www.folkculturebh.org/,NEWS,News and media
http://www.gulfweekly.com/,NEWS,News and media
