url,category_code,category_description
http://www.qawem.org/,POLT,News and media
http://www.moqawama.org/,POLT,News and media
http://www.alnour.com.lb/,POLT,News and media
http://www.alahednews.com.lb/,POLT,News and media
http://www.kataibhizbollah.com/,POLT,News and media
http://www.aletejahtv.org/,POLT,News and media
http://alwelayah.net/,POLT,News and media
http://www.islamtimes.org/,POLT,News and media
http://www.mepanorama.net/,POLT,News and media
http://www.almayadeen.net/,POLT,News and media
http://www.almanar.com.lb/,POLT,News and media
