url,category_code,secondary_category,subcategory,comments
http://www.ikhwan.net/,POLT,News and media,,
http://www.ikhwanonline.com/,POLT,News and media,,
http://www.ikhwanweb.com/,POLT,News and media,,
https://ikhwanonline.info/,POLT,News and media,,
http://ikhwanonline.info/,POLT,News and media,,
http://ikhwanlibya.org/,POLT,News and media,,
http://www.ikhwanismailia.com/,POLT,News and media,,
http://www.ikhwanwiki.com/,POLT,News and media,,
http://www.ikhwantube.com/,POLT,News and media,,
http://www.ikhwansyria.com/,POLT,News and media,,
http://www.ikhwanpress.com/,POLT,News and media,,
http://ikhwan.site/,POLT,News and media,,
http://www.fjponline.com/,POLT,News and media,,
http://www.fj-p.com/,POLT,News and media,,
http://www.al-jamaa.org/,POLT,News and media,,
http://www.alqassam.ps/arabic/index.php,POLT,News and media,,
http://www.ikhwan.sd/,POLT,News and media,,
