url,category_code,category_description
https://www.kingabdullah.gov.jo/,NEWS,News and media
https://www.queenrania.jo/en,NEWS,News and media
http://www.petra.gov.jo/,NEWS,News and media
http://www.kinghussein.gov.jo/,NEWS,News and media
http://alrai.com/,NEWS,News and media
https://www.addustour.com/,NEWS,News and media
http://www.alghad.com/,NEWS,News and media
http://www.jordantimes.com/,NEWS,News and media
http://www.jrtv.jo/,NEWS,News and media
http://assabeel.net/,NEWS,News and media
http://almajd.net,NEWS,News and media
http://www.al-sijill.com/,NEWS,News and media
https://www.hashd-ahali.org/main/ahali/,NEWS,News and media
http://factjo.com/,NEWS,News and media
http://marayanews.com/,NEWS,News and media
http://www.ammonnews.net/,NEWS,News and media
http://ar.ammannet.net/,NEWS,News and media
http://www.gerasanews.com/,NEWS,News and media
