url,category_code,category_description,,,,
http://www.raya.com/portal,NEWS,Local news website,,,,
http://www.al-sharq.com/,NEWS,Local news website,,,,
http://www.qna.org.qa/,NEWS,Local news website,,,,
http://www.al-watan.com/,NEWS,Local news website,,,,
http://www.alarab.qa/,NEWS,Local news website,,,,
http://www.qatarbroadcast.qa/,NEWS,Local news website,,,,
http://www.gulf-times.com/,NEWS,Local news website,,,,
http://thepeninsulaqatar.com/,NEWS,Local news website,,,,
http://www.mofa.gov.qa/ar/Pages/default.aspx,NEWS,Ministry of Foreign Affairs,,,,
http://aljazeera.net/,NEWS,Pan-Arab news website,,,,
http://doc.aljazeera.net/,NEWS,Al-Jazeera Documentary,,,,
http://aljazeera.com,NEWS,Al-Jazeera English,,,,
http://www.qatarradio.qa/,NEWS,Qatar Radio,,,,
https://www.qatarairways.com/,NEWS,Qatar Airways,,,,
http://www.qu.edu.qa/,NEWS,Qatar University,,,,
http://www.qtv.qa/,NEWS,Qatar TV,,,,
http://www.beinsports.com/en/,NEWS,BEIN Sports,,,,
https://www.sc.qa/en/,NEWS,Supreme Committee for Delivery & Legacy,,,,
http://portal.www.gov.qa/,NEWS,Qatar government portal,,,,
http://www.mcs.gov.qa/,NEWS,Ministry of Culture and Sports,,,,
http://www.cb.gov.qa/English/Pages/default.aspx,NEWS,Qatar Credit Bureau,,,,
https://www.binzaid.gov.qa/,NEWS,Sheikh Abdulla Bin Zaid Al Mahmoud Islamic Cultural Center,,,,
https://www.singlewindow.gov.qa/BookServ/,NEWS,Single Window government service,,,,
https://www.diwan.gov.qa/,NEWS,Amiri Diwan (Amir's Office),,,,
http://mme.gov.qa/,NEWS,Ministry of Municipality and Environment,,,,
https://www.visitqatar.qa/,NEWS, Qatar Tourism Authority,,,,
https://www.gco.gov.qa/en/,NEWS,Government Communications Office,,,,
https://tasmu.gov.qa/en,NEWS,Qatar Ministry of Transportation and Communication,,,,
http://www.amiriflight.gov.qa/,NEWS,Amiri Flight,,,,
https://www.mei.gov.qa/,NEWS,Ministry of Energy & Industry,,,,
http://qatarmotorshow.gov.qa/,NEWS,Qatar Motor Show,,,,
http://www.raca.gov.qa/,NEWS,Regulatory Authority for Charitable Activities,,,,
http://www.edu.gov.qa/Ar/Pages/Home.aspx,NEWS,Ministry of Education and Higher Education ,,,,
https://lusailnews.qa/,NEWS,Lusail News,,,,
https://www.caa.gov.qa/en-us,NEWS,Civil Aviation Authority - Qatar,,,,
https://www.mdps.gov.qa/,NEWS,Ministry of Development Planning and Statistics ,,,,
https://www.grsia.gov.qa/ar/Pages/home.aspx,NEWS,General Retirement and social Insurance Authority,,,,
http://cra.gov.qa/en,NEWS,Communications Regulatory Authority ,,,,
http://www.fcc.gov.qa/ar-qa/Pages/HOME.aspx,NEWS,Family Counciling Center,,,,
https://www.islam.gov.qa/,NEWS,Ministry of Religious Affairs,,,,
http://www.namlc.gov.qa/,NEWS,National  Anti Money Laundering and Terrorism Financing Committee,,,,
http://www.qcb.gov.qa/,NEWS,Qatar Central Bank,,,,
https://sw.gov.qa/,NEWS,Government service portal,,,,
http://www.customs.gov.qa/,NEWS,General Authority of Customs,,,,
http://www.cm.gov.qa/Arabic/Pages/default.aspx,NEWS, Council Of Ministers,,,,
https://www.hajj.gov.qa/,NEWS,Hajj and Umrah Department,,,,
http://www.motc.gov.qa/ar,NEWS,Ministry of Transport and Communications ,,,,
https://dohanews.co/,NEWS,Doha News,,,,
http://www.qatar-tribune.com/,NEWS,Qatar Tribune,,,,
https://www.qr.com.qa/,NEWS,Qatar Rail Network,,,,
https://www.qe.com.qa/,NEWS,Qatar Stock Exchange,,,,
https://www.iloveqatar.net/,NEWS,I Love Qatar,,,,
https://www.qp.com.qa/,NEWS,Qatar Petroleum,,,,
https://www.shell.com.qa,NEWS,Qatar Shell,,,,
,,,,,,
,,,,,,
,,,,,,
