url,category_code,category_description
http://www.annabaa.org,NEWS,News and media
http://www.alriyadh.com/,NEWS,News and media
http://sabq.org/,NEWS,News and media
http://www.almowaten.net/,NEWS,News and media
http://www.almokhtsar.com/,NEWS,News and media
http://www.kabar.ws/,NEWS,News and media
http://www.hailnews.net/hail/,NEWS,News and media
http://www.jazannews.org/,NEWS,News and media
http://www.amelnews.com/,NEWS,News and media
http://www.alazd.net/,NEWS,News and media
http://www.aleqt.com/,NEWS,News and media
http://www.alolaa.net/,NEWS,News and media
http://www.almowaten.net/,NEWS,News and media
http://www.al-madina.com/,NEWS,News and media
http://www.alwatan.com.sa/,NEWS,News and media
http://www.alsharq.net.sa/,NEWS,News and media
http://www.alyaum.com/,NEWS,News and media
http://www.al-jazirah.com/,NEWS,News and media
http://aawsat.com/,NEWS,News and media
http://www.twasul.info/,NEWS,News and media
http://www.faifaonline.net/portal/,NEWS,News and media
http://www.almokhtsar.com/node/442938,NEWS,News and media
http://www.e-mailaat.com/,NEWS,News and media
http://www.alarabiya.net/,NEWS,News and media
http://mbc.net/,NEWS,News and media
http://www.makkahgate.net/,NEWS,News and media
http://www.slaati.com/,NEWS,News and media
http://www.kolalwatn.net/,NEWS,News and media
http://www.uqn.gov.sa/Pages/Default.aspx,NEWS,News and media
http://www.1asir.com/news/,NEWS,News and media
http://www.saudiairlines.com/,MISC,News and media
http://riyadhpost.live/,NEWS,News and media
http://www.argaam.com/,NEWS,News and media
http://www.raddadi.com/,NEWS,News and media
http://www.arabnews.com/,NEWS,News and media
http://www.news-sa.com/,NEWS,News and media
http://news-ksa.com/,NEWS,News and media
http://www.ajel.sa/,NEWS,News and media
http://www.k1b1.com/,NEWS,News and media
http://www.arabicmagazine.com/arabic/,NEWS,News and media
http://www.almdarnews.net/,NEWS,News and media
http://www.juof7.com/,NEWS,News and media
http://www.afifnews.com/,NEWS,News and media
http://alhiad.net/,NEWS,News and media
http://www.kharjhome.com/,NEWS,News and media
http://www.almdarnews.net/,NEWS,News and media
http://www.newsqassim.com/index.php,NEWS,News and media
http://www.alkharjnet.net/,NEWS,News and media
http://www.belgarn.com/,NEWS,News and media
https://www.alkhafji.news/,NEWS,News and media
http://arar-news.com/,NEWS,News and media
http://yanbutoday.com/,NEWS,News and media
http://www.ynbu.com/,NEWS,News and media
http://www.hailvoice.net/,NEWS,News and media
http://www.arriyadiyah.com/,NEWS,News and media
http://www.albiladdaily.com/,NEWS,News and media
http://www.almarefh.net/,NEWS,News and media
http://www.alweeam.com.sa/,NEWS,News and media
http://www.k1b1.com/,NEWS,News and media
http://alwakad.net/dimofinf/,NEWS,News and media
http://www.afifnp.com/,NEWS,News and media
