"url","category_code","date_added","source","notes"
"http://233today.com/","GRP","2016-11-24","OONI",""
"http://3news.com/","NEWS","2016-11-30","OONI partner","This category includes major news outlets (BBC, CNN, etc.) as well as regional news outlets and independent media"
"http://accraacaalumni.com/","CULTR","2016-11-30","OONI partner","Content relating to entertainment, history, literature, music, film, books, satire and humour"
"http://africanhustlers.org/","HUMR","2016-11-24","OONI",""
"http://africanroyalbeachhotel.com/","COMM","2016-11-30","OONI partner","Websites of commercial services and products"
"http://agighana.org/","COMM","2016-11-30","OONI partner","Websites of commercial services and products"
"http://asempayetsia.yolasite.com/","CULTR","2016-11-24","OONI",""
"http://avianceghana.com/","COMM","2016-11-30","OONI partner","Websites of commercial services and products"
"http://basketsgivinglife.com/","COMM","2016-11-30","OONI partner","Websites of commercial services and products"
"http://beaverdentist.com/","COMM","2016-11-30","OONI partner","Websites of commercial services and products"
"http://blastours.com/","CULTR","2016-11-30","OONI partner","Content relating to entertainment, history, literature, music, film, books, satire and humour"
"http://buildafghana.com/","CULTR","2016-11-30","OONI partner","Content relating to entertainment, history, literature, music, film, books, satire and humour"
"http://buzzghana.com/","NEWS","2016-11-24","OONI",""
"http://campusdealsgh.com/","COMM","2016-11-30","OONI partner","Websites of commercial services and products"
"http://certgh-web.cert-gh.org/","HACK","2016-11-24","OONI",""
"http://citifmonline.com/","NEWS","2016-11-29","OONI partner","This category includes major news outlets (BBC, CNN, etc.) as well as regional news outlets and independent media"
"http://cocobod.gh/","COMM","2016-11-30","OONI partner","Websites of commercial services and products"
"http://culturalcollaborative.org/","CULTR","2016-11-30","OONI partner","Content relating to entertainment, history, literature, music, film, books, satire and humour"
"http://dailyguideafrica.com/","NEWS","2016-11-23","OONI partner","This category includes major news outlets (BBC, CNN, etc.) as well as regional news outlets and independent media"
"http://data.gov.gh/","ENV","2016-11-30","OONI partner","Pollution, international environmental treaties, deforestation, environmental justice, disasters, etc."
"http://datacenta.com/","COMM","2016-11-30","OONI partner","Websites of commercial services and products"
"http://datememateme.com/dating/ghana/accra-ghana/accra-33","DATE","2016-11-24","OONI",""
"http://desiredland.wixsite.com/glorygcfi","REL","2016-11-24","OONI",""
"http://dreamghana.org/","CULTR","2016-11-30","OONI partner","Content relating to entertainment, history, literature, music, film, books, satire and humour"
"http://druginfo.adf.org.au/","ALDR","2016-11-24","OONI",""
"http://drumghana.tripod.com/multiculturalstudies/","CULTR","2016-11-24","OONI",""
"http://easytrackghana.com/","CULTR","2016-11-30","OONI partner","Content relating to entertainment, history, literature, music, film, books, satire and humour"
"http://ecotours.150m.com/","CULTR","2016-11-30","OONI partner","Content relating to entertainment, history, literature, music, film, books, satire and humour"
"http://eleganthomesgh.com/","COMM","2016-11-30","OONI partner","Websites of commercial services and products"
"http://elminabayresort.com/","CULTR","2016-11-30","OONI partner","Content relating to entertainment, history, literature, music, film, books, satire and humour"
"http://eshopafrica.com/","COMM","2016-11-30","OONI partner","Websites of commercial services and products"
"http://estatesdesign.com/","COMM","2016-11-30","OONI partner","Websites of commercial services and products"
"http://etvghana.com/","NEWS","2016-11-30","OONI partner","This category includes major news outlets (BBC, CNN, etc.) as well as regional news outlets and independent media"
"http://explainerdc.com.gh/","COMM","2016-11-30","OONI partner","Websites of commercial services and products"
"http://fairwages.gov.gh/","GOVT","2016-11-30","OONI partner","Government-run websites, including military sites."
"http://gapyearghana.com/","CULTR","2016-11-30","OONI partner","Content relating to entertainment, history, literature, music, film, books, satire and humour"
"http://gegov.com.gh/","GOVT","2016-11-30","OONI partner","Government-run websites, including military sites."
"http://ghamfin.org/","COMM","2016-11-30","OONI partner","Websites of commercial services and products"
"http://ghana-net.com/","CULTR","2016-11-30","OONI partner","Content relating to entertainment, history, literature, music, film, books, satire and humour"
"http://ghana-nrw.info/","ENV","2016-11-30","OONI partner","Pollution, international environmental treaties, deforestation, environmental justice, disasters, etc."
"http://ghana-tours-travel.com/","CULTR","2016-11-30","OONI partner","Content relating to entertainment, history, literature, music, film, books, satire and humour"
"http://ghanabase.com/","CULTR","2016-11-30","OONI partner","Content relating to entertainment, history, literature, music, film, books, satire and humour"
"http://ghanabusinessconcepts.20m.com/","CULTR","2016-11-30","OONI partner","Content relating to entertainment, history, literature, music, film, books, satire and humour"
