"url","category_code","date_added","source","notes"
"http://aixiaomingstudio.blogspot.com/p/blog-page_9.html","WOMR","2017-01-24","Berkman Klein",""
"http://articles.chicagotribune.com/2012-11-01/news/sns-rt-us-china-environmentbre8a01l0-20121101_1_china-struggles-px-plant-local-government","ENV","2017-01-24","Berkman Klein","This was a single webpage of a news article regarding environmental protests in China"
"http://big5.falundafa.org/","MINR","2017-01-24","Berkman Klein","promote conversion to a specific religion"
"http://bigthink.com/blogs","FEXP","2017-01-24","Berkman Klein","Topics involved covered a wide range such as arts and culture, politics, technology"
"http://bigthink.com/blogs/the-way-of-ai-weiwei","FEXP","2017-01-24","Berkman Klein",""
"http://biweekly.hrichina.org/","HUMR","2017-01-24","Berkman Klein",""
"http://blog.sina.com.cn/","BLGSERV","2017-01-24","Berkman Klein",""
"http://blog.sina.com.cn/twocold","PLATFORM","2017-01-24","Berkman Klein","It's a blog on Sina (a major platform in China) from a writer/celebrity. I think the major tag should be PLATFORM"
"http://blogs.wsj.com/chinarealtime/","FEXP","2017-01-24","Berkman Klein","covers a range of topics including economy, law, politics, environment, culture, etc,."
"http://blogspot.com/","PLATFORM","2017-01-24","Berkman Klein",""
"http://cams.org.sg/","REL","2017-01-24","Berkman Klein","archdiocesan commission for apostolate of mandarin-speaking (ACAMS)"
"http://catholic.org.hk/v2/b5/index.html","REL","2017-01-24","Berkman Klein",""
"http://cefc.org/","REL","2017-01-24","Berkman Klein","Chinese Evangelical Free Church of Los Angeles"
"http://cgdepot.org/","REL","2017-01-24","Berkman Klein","China Gospel Depot"
"http://china.ucanews.com/","REL","2017-01-24","Berkman Klein",""
"http://chinadigitaltimes.net/","FEXP","2017-01-24","Berkman Klein",""
"http://chinadigitaltimes.net/chinese/","FEXP","2017-01-24","Berkman Klein",""
"http://chinadigitaltimes.net/chinese/%E7%A6%81%E4%B9%A6%E5%88%97%E8%A1%A8/","HAL","2017-01-24","Berkman Klein","list of books that are censored in China"
"http://chinadigitaltimes.net/chinese/%E7%A6%81%E7%89%87%E5%A4%A7%E5%85%A8(%E9%99%84%E8%A7%82%E7%9C%8B%E5%9C%B0%E5%9D%80)/","HAL","2017-01-24","Berkman Klein","list of movies that are censored in China"
"http://chinalawandpolicy.com/","MISC","2017-01-24","Berkman Klein","It's mostly about research on China's law and policy. Touches on environmental topic and foreign relations"
"http://cmp.hku.hk/","FEXP","2017-01-24","Berkman Klein","It documents and analyzes the media reform in China and what factors affect it."
"http://cn.nytimes.com/","FEXP","2017-01-24","Berkman Klein",""
"http://cn.yahoo.com/","SRCH","2017-01-24","Berkman Klein","yahoo search"
"http://cnpolitics.org/","FEXP","2017-01-24","Berkman Klein","mostly features academic research about politics and china"
"http://cpj.org/","FEXP","2017-01-24","Berkman Klein",""
"http://cpj.org/asia/","FEXP","2017-01-24","Berkman Klein",""
"http://csis.org/","FREL","2017-01-24","Berkman Klein",""
"http://download.cnet.com/free-vpn/3000-7240_4-75445860.html","ANON","2017-01-24","Berkman Klein",""
"http://duihua.org/wp/","HUMR","2017-01-24","Berkman Klein",""
"http://e-info.org.tw/","ENV","2017-01-24","Berkman Klein",""
"http://en.rsf.org/","FEXP","2017-01-24","Berkman Klein",""
"http://en.wikipedia.org/wiki/Main_Page","MISC","2017-01-24","Berkman Klein",""
"http://fcchk.org/","FEXP","2017-01-24","Berkman Klein",""
"http://gb.falundafa.org/","MINR","2017-01-24","Berkman Klein","Is it MINF or MINR? I didn't find the label MINF in the guidline"
"http://green.sina.com.cn/","ENV","2017-01-24","Berkman Klein",""
"http://hk.on.cc/hk/news/","NEWS","2017-01-24","Berkman Klein","Hong Kong based news media"
"http://ifeng.com/","NEWS","2017-01-24","Berkman Klein",""
"http://news.nationalgeographic.com/news/energy/2012/10/121026-east-china-sea-dispute/","FREL","2017-01-24","Berkman Klein",""
"http://ntdtv.org/","FEXP","2017-01-24","Berkman Klein",""
"http://openvpn.net/","ANON","2017-01-24","Berkman Klein",""
"http://personaldemocracy.com/","FEXP","2017-01-24","Berkman Klein",""
"http://project2049.net/","FREL","2017-01-24","Berkman Klein","aims for policy change"
"http://qiwen.lu/","HAL","2017-01-24","Berkman Klein",""
"http://renren.com/","PLATFORM","2017-01-24","Berkman Klein","Chinese version of facebook"
"http://research.jmsc.hku.hk/social/obs.py/sinaweibo/","FEXP","2017-01-24","Berkman Klein","the site can't be reached"
"http://rsf-chinese.org/","HUMR","2017-01-24","Berkman Klein",""
"http://savetibet.us/","HUMR","2017-01-24","Berkman Klein","404 not found"
"http://shanghaiist.com/","NEWS","2017-01-24","Berkman Klein","Shanghaiist covers a wide spectrum of life in Shanghai/China, including: arts, culture, sports, music, food, parties, events, business, human rights, politics, environment, LGBT issues, religion, technology, etc."
"http://tealeafnation.com/","FEXP","2017-01-24","Berkman Klein",""
"http://thediplomat.com/","FREL","2017-01-24","Berkman Klein",""
"http://tibet.net/","MILX","2017-01-24","Berkman Klein","Promotes for Tibet independence movement"
"http://uhrp.org/","HUMR","2017-01-24","Berkman Klein","Same as the one above"
"http://ultrasurf.us/","ANON","2017-01-24","Berkman Klein",""
"http://us.dongtaiwang.com/","ANON","2017-01-24","Berkman Klein","It offers VPN services but also is a list service for blocked sensitive websites"
"http://uyghuramerican.org/","HUMR","2017-01-24","Berkman Klein","The website also states it strives for self-determination of Uyghur people that I'm not sure if the labels POLT or MILX apply because it doesn't seem a lot of contents focus on separatist movement or overthrowing the regime but the final goal it claims seems pointing to that."
"http://weblog.savetibet.org/","HUMR","2017-01-24","Berkman Klein",""
"http://womenwatch.unwomen.org/","WOMR","2017-01-24","Berkman Klein",""
"http://wqw2010.blogspot.com/","HUMR","2017-01-24","Berkman Klein",""
"http://www.64memo.com/","HUMR","2017-01-24","Berkman Klein",""
"http://www.aeinstein.org/about/mission-statement/","POLT","2017-01-24","Berkman Klein",""
"http://www.aljazeera.com/","NEWS","2017-01-24","Berkman Klein",""
"http://www.americanprogress.org/","FREL","2017-01-24","Berkman Klein",""
"http://www.americanprogress.org/issues/china/view/","FREL","2017-01-24","Berkman Klein","It seems it's about America rather about China"
"http://www.americanprogress.org/tag/china-leadership-transition/view/","FREL","2017-01-24","Berkman Klein","It seems it's about America rather about China"
"http://www.amnesty.org.hk/chi/","HUMR","2017-01-24","Berkman Klein",""
"http://www.appledaily.com.tw/","NEWS","2017-01-24","Berkman Klein","I think the main tag should be NEWS. It's a website of Taiwai newspaper/tabloid that covers widely and mostly about political news and entertainments. And is blocked in Mainland China."
"http://www.bayvoice.net/","NEWS","2017-01-24","Berkman Klein","San Francisco based news media"
"http://www.bbc.co.uk/zhongwen/simp/","FEXP","2017-01-24","Berkman Klein","It contains some content that promotes freedom of expression, but I think most of the contents are about news regarding different areas."
"http://www.bloomberg.com/","NEWS","2017-01-24","Berkman Klein",""
"http://www.boxun.com/","FEXP","2017-01-24","Berkman Klein",""
"http://www.bp.com/sectiongenericarticle.do?categoryid=9008847&contentid=7016486","ENV","2017-01-24","Berkman Klein",""
"http://www.brookings.edu/","FREL","2017-01-24","Berkman Klein",""
"http://www.caixin.com/","NEWS","2017-01-24","Berkman Klein",""
"http://www.caixinglobal.com/section-news/?t=101010310","DEV","2017-01-24","Berkman Klein",""
"http://www.caixinglobal.com/section-news/?t=101010311","ENV","2017-01-24","Berkman Klein",""
"http://www.cfhks.org.hk/","REL","2017-01-24","Berkman Klein",""
"http://www.cfr.org/","FREL","2017-01-24","Berkman Klein","doesn't focus on china"
"http://www.china-gad.org/index.html","WOMR","2017-01-24","Berkman Klein",""
"http://www.chinaaid.net/","HUMR","2017-01-24","Berkman Klein","also contains many cases of imprisoned christian believers, pastors"
"http://www.chinaaid.org/","HUMR","2017-01-24","Berkman Klein",""
"http://www.chinadevelopmentbrief.org.cn/","DEV","2017-01-24","Berkman Klein",""
"http://www.chinadevelopmentbrief.org.cn/org789/","WOMR","2017-01-24","Berkman Klein",""
"http://www.chinasoul.org/","REL","2017-01-24","Berkman Klein",""
"http://www.chinesepen.org/english/","FEXP","2017-01-24","Berkman Klein",""
"http://www.chinesepen.org/index.shtml","FEXP","2017-01-24","Berkman Klein","It also features books, films, comments that are politically sensitive/censored in China, with many writings from writers in jail."
"http://www.chrdnet.com/","HUMR","2017-01-24","Berkman Klein","peaceful efforts to push for democratic and rule of law reforms and to strengthen grassroots activism in China."
"http://www.civic-exchange.org/wp/","ENV","2017-01-24","Berkman Klein","not found"
"http://www.clb.org.hk/en/","HUMR","2017-01-24","Berkman Klein","content related to change in industry union system"
"http://www.clb.org.hk/schi/","HUMR","2017-01-24","Berkman Klein",""
"http://www.clearwisdom.net/","MINR","2017-01-24","Berkman Klein","most about the Falungong, and human rights for those detained practioniors."
"http://www.cnwomen.com.cn/","WOMR","2017-01-24","Berkman Klein",""
"http://www.cycan.org/?page_id=190","ENV","2017-01-24","Berkman Klein",""
"http://www.dalailama.com/","MINR","2017-01-24","Berkman Klein",""
"http://www.dalailamaworld.com/","MINR","2017-01-24","Berkman Klein",""
"http://www.danwei.com/","FEXP","2017-01-24","Berkman Klein","Track media and produce consumer research, media control reports, and economic analysis reports"
"http://www.daolan.net/","HAL","2017-01-24","Berkman Klein","translations of captions from NHK documentaries"
"http://www.dit-inc.us/","ANON","2017-01-24","Berkman Klein",""
"http://www.dolf.org.hk/hotline/","REL","2017-01-24","Berkman Klein",""
"http://www.douban.com/","HAL","2017-01-24","Berkman Klein",""
