"url","category_code","date_added","source","notes"
"http://444.hu/","NEWS","2017-01-24","Berkman Klein",""
"http://abortourism.com/","XED","2017-01-24","Berkman Klein",""
"http://abortusz.info/","XED","2017-01-24","Berkman Klein",""
"http://akibic.hu/","MINR","2017-01-24","Berkman Klein",""
"http://alfahir.hu/","NEWS","2017-01-24","Berkman Klein",""
"http://anemaznem.blog.hu/","WOMR","2017-01-24","Berkman Klein",""
"http://anonimaids.hu/","PUBH","2017-01-24","Berkman Klein",""
"http://atlatszo.hu/","NEWS","2017-01-24","Berkman Klein",""
"http://avarosmindenkie.blog.hu/","DEV","2017-01-24","Berkman Klein",""
"http://bbm.hu/","DEV","2017-01-24","Berkman Klein",""
"http://beautifulthingirl.blogspot.hu/","SELFHARM","2017-01-24","Berkman Klein",""
"http://betyarsereg.hu/","MILX","2017-01-24","Berkman Klein",""
"http://budapestpride.hu/","GAYL","2017-01-24","Berkman Klein",""
"http://casino.poker.hu/","GMB","2017-01-24","Berkman Klein",""
"http://dev.neki.hu/","MINR","2017-01-24","Berkman Klein",""
"http://dreamfashion.hu/","PROV","2017-01-24","Berkman Klein",""
"http://drogriporter.hu/","ALDR","2017-01-24","Berkman Klein",""
"http://egyuttpart.hu/","POLT","2017-01-24","Berkman Klein","political party in parliament"
"http://emberijogok.hu/","HUMR","2017-01-24","Berkman Klein",""
"http://energiaakademia.lapunk.hu/","ENV","2017-01-24","Berkman Klein",""
"http://energiaklub.hu/","ENV","2017-01-24","Berkman Klein",""
"http://erdekelezvalakit.blog.hu/","ENV","2017-01-24","Berkman Klein",""
"http://etkezesizavar.hu/","SELFHARM","2017-01-24","Berkman Klein",""
"http://evangelikus.hu/","REL","2017-01-24","Berkman Klein",""
"http://eveszavar.hu/","SELFHARM","2017-01-24","Berkman Klein",""
"http://fideszkorrupcio.info/","POLT","2017-01-24","Berkman Klein",""
"http://fkgp.hu/","POLT","2017-01-24","Berkman Klein","political party"
"http://foldvedelem.hu/","POLT","2017-01-24","Berkman Klein",""
"http://forum.index.hu/Article/showArticle?t=9022253","SELFHARM","2017-01-24","Berkman Klein",""
"http://gay.hu/","GAYL","2017-01-24","Berkman Klein",""
"http://gomoa.net/","ALDR","2017-01-24","Berkman Klein",""
"http://greenfo.hu/","ENV","2017-01-24","Berkman Klein",""
"http://gyermekvilag-gyermekjog.blog.hu/","HUMR","2017-01-24","Berkman Klein",""
"http://harcunk.info/","HAL","2017-01-24","Berkman Klein",""
"http://haver.hu/","MINR","2017-01-24","Berkman Klein",""
"http://hircsarda.hu/","NEWS","2017-01-24","Berkman Klein",""
"http://hirtv.hu/","NEWS","2017-01-24","Berkman Klein",""
"http://homeopatia.info.hu/hu","PUBH","2017-01-24","Berkman Klein",""
"http://honfoglalo.hu/","GAME","2017-01-24","Berkman Klein",""
"http://humanplatform.hu/","POLT","2017-01-24","Berkman Klein",""
"http://hunhir.info/","NEWS","2017-01-24","Berkman Klein",""
"http://hvg.hu/","NEWS","2017-01-24","Berkman Klein",""
"http://igazgyongy-alapitvany.hu/","DEV","2017-01-24","Berkman Klein",""
"http://index.hu/","NEWS","2017-01-24","Berkman Klein",""
"http://iszlam.com/","REL","2017-01-24","Berkman Klein",""
"http://jmsz.hu/","HUMR","2017-01-24","Berkman Klein",""
"http://k-monitor.hu/","POLT","2017-01-24","Berkman Klein",""
"http://kaslerarpad.hu/","POLT","2017-01-24","Berkman Klein",""
"http://katalizatorhalozat.hu/","DEV","2017-01-24","Berkman Klein",""
"http://keresettaferi.ininet.hu/gecirodli/gecirodli.swf","GAME","2017-01-24","Berkman Klein",""
"http://kettosmerce.blog.hu/","NEWS","2017-01-24","Berkman Klein",""
"http://kitartas.net/","MILX","2017-01-24","Berkman Klein",""
"http://kitorestura.hu/index.html","HAL","2017-01-24","Berkman Klein",""
"http://klubradio.hu/","NEWS","2017-01-24","Berkman Klein",""
"http://kozmosz.bandcamp.com/","HAL","2017-01-24","Berkman Klein",""
"http://kozmunkasmozgalom.blog.hu/","POLT","2017-01-24","Berkman Klein",""
"http://kretakor.eu/home/","HAL","2017-01-24","Berkman Klein",""
"http://krisna.hu/","REL","2017-01-24","Berkman Klein",""
"http://legalgreenshop.hu/","ALDR","2017-01-24","Berkman Klein",""
"http://legalsmokeshop.hu/","ALDR","2017-01-24","Berkman Klein",""
"http://lehetmas.hu/","POLT","2017-01-24","Berkman Klein","political party in parliament"
"http://liberalisok.hu/","POLT","2017-01-24","Berkman Klein","political party in parliament"
"http://ligetvedo.blog.hu/","ENV","2017-01-24","Berkman Klein",""
"http://lmbtszovetseg.hu/","GAYL","2017-01-24","Berkman Klein",""
"http://magyargarda.hu/","MILX","2017-01-24","Berkman Klein",""
"http://magyariszlam.hu/","REL","2017-01-24","Berkman Klein",""
"http://magyarnarancs.hu/","NEWS","2017-01-24","Berkman Klein",""
"http://megallo.org/","ALDR","2017-01-24","Berkman Klein",""
"http://menedek.hu/","HUMR","2017-01-24","Berkman Klein",""
"http://mle.org.hu/","FEXP","2017-01-24","Berkman Klein",""
"http://modernmagyarorszag.blog.hu/","POLT","2017-01-24","Berkman Klein","political party"
"http://mszp.hu/","POLT","2017-01-24","Berkman Klein","political party in parliament"
"http://n1tv.hu/","NEWS","2017-01-24","Berkman Klein",""
"http://nane.hu/","WOMR","2017-01-24","Berkman Klein",""
"http://nebancs.hu/","PUBH","2017-01-24","Berkman Klein",""
"http://negyedikkoztarsasag.hu/","POLT","2017-01-24","Berkman Klein","political party"
"http://nemzetiarcvonal.net/","MILX","2017-01-24","Berkman Klein",""
"http://nepszava.hu/","NEWS","2017-01-24","Berkman Klein",""
"http://noierdek.hu/2/","WOMR","2017-01-24","Berkman Klein",""
"http://nol.hu/","NEWS","2017-01-24","Berkman Klein",""
"http://nyomorszeleblog.hvg.hu/","DEV","2017-01-24","Berkman Klein",""
"http://nyugatifeny.blog.hu/","NEWS","2017-01-24","Berkman Klein",""
"http://ogyl.hu/","HUMR","2017-01-24","Berkman Klein",""
"http://okotars.hu/","ENV","2017-01-24","Berkman Klein",""
"http://oktatoihalozat.hu/","POLT","2017-01-24","Berkman Klein",""
"http://oltalom.hu/index.php?lang=hu","DEV","2017-01-24","Berkman Klein",""
"http://ongyilkossag.com/","SELFHARM","2017-01-24","Berkman Klein",""
"http://paxhungarica.org/","HAL","2017-01-24","Berkman Klein",""
"http://pinkpuli.com/","GAYL","2017-01-24","Berkman Klein",""
"http://pinkvanilla.hu/","GAYL","2017-01-24","Berkman Klein",""
"http://poker.hu/","GMB","2017-01-24","Berkman Klein",""
