url,category_code,subcategory_code,secondary_category_code,date_added,source,notes
http://kimedia.blogspot.com/,POLT,,,2017-01-24,Berkman Klein,The website had been blocked in 2011 following the ordered reportedly by  the Ministry of Post and Telecommunications of Cambodia. The crackdown was apparently a government reaction to the KI media post in December 2010 which described key government officials as ‘traitors.’ KI Media is a prominent online media blog which is critical to the government. This incident also led to the arrest of World Food Program staffer Seng Kunnaka who was sentenced to six months in jail for distributing copies of the controversial image from KI Media. It has been now unblocked and available through at least some ISPs within 2015. More info about the case via http://cchrcambodia.org/admin/media/analysis/analysis/english/Internet%20Censorship%20-%20Briefing%20Note(1).pdf
http://khmerization.blogspot.com/,POLT,,,2017-01-24,Berkman Klein,"Simiar to KI media, the site had been blocked in 2011."
http://sacrava.blogspot.com/,POLT,HAL,,2017-01-24,Berkman Klein,"Similar to KI media, the site had been blocked in 2011. The owner who known as artist and political activist named Ung Bun Heang. He died in February 2014 in Australia, the adopted country where he would never be able to return home Cambodia following the Khmer Rouge Regime. More info via http://www.phnompenhpost.com/lifestyle/obituary-cartoonist-who-challenged-power-his-art"
http://reahu.net/,PROV,,,2017-01-24,Berkman Klein,"The site had been blocked in late 2009 due to his controversial artwork depicting semi-naked Apsaras– female Khmer
folk-tale figures – that angered the Ministry of Women’s Affairs. He also received an inbox full of “hate mail” that included threats “to hunt him
down”. Minister for the Ministry of Posts and Telecommunications (the “MOPT”) confirmed he had sent a letter to the relevant Internet service providers (“ISPs”),
asking them to block access to the website, but claimed that he did not know whether his letter had been acted upon. More info via http://www.licadho-cambodia.org/reports/files/205LICADHOReport-GoingOfflineInternetFreedoms-English.pdf and http://cchrcambodia.org/admin/media/analysis/analysis/english/Internet%20Censorship%20-%20Briefing%20Note(1).pdf"
https://www.globalwitness.org/en/reports/country-sale/,POLT,ENV,,2017-01-24,Berkman Klein,"In 2009, the site had been briefly unaccessible on at least ISP named AngkorNet following Global Witness released its report titling Country for Sale. The organization had received harsh reation and ban by the government in 2007 as well following the release a report titling Cambodia's Family Tree."
http://www.nationalrescueparty.org/,POLT,,,2017-01-24,Berkman Klein,The site of the main political opposition party.
http://khmer.voanews.com/,NEWS,,,2017-01-24,Berkman Klein,This media outlet is one of independent media that reports news in which state owned or afflicated would never report.
http://www.rfa.org/khmer/,NEWS,,,2017-01-24,Berkman Klein,This media outlet is one of independent media that reports news in which state owned or afflicated would never report.
http://www.phnompenhpost.com/,NEWS,,,2017-01-24,Berkman Klein,This is one of the few indepedent foreign media in the country.
https://www.cambodiadaily.com/,NEWS,,,2017-01-24,Berkman Klein,This is one of the few indepedent foreign media in the country.
https://thmeythmey.com/,NEWS,,,2017-01-24,Berkman Klein,
http://monoroom.info/,NEWS,,,2017-01-24,Berkman Klein,
http://vodhotnews.com/,NEWS,,,2017-01-24,Berkman Klein,
