url,category_code,subcategory_code,secondary_category_code,date_added,source,notes
http://actualitati.md/,NEWS,,,2017-01-24,Berkman Klein,
http://agora.md/,FEXP,,,2017-01-24,Berkman Klein,critic to GOV
http://curentul.md/,NEWS,,,2017-01-24,Berkman Klein,
http://deschide.md/,NEWS,,,2017-01-24,Berkman Klein,
http://independent.md/,FEXP,,,2017-01-24,Berkman Klein,critic to GOV
http://tv7.md/,NEWS,,,2017-01-24,Berkman Klein,critic to GOV
http://anticoruptie.md/,FEXP,,,2017-01-24,Berkman Klein,anticorruption watchdog
http://ialovenionline.md/,NEWS,,,2017-01-24,Berkman Klein,
http://www.basarabia.md/,FEXP,,,2017-01-24,Berkman Klein,
http://puls.md/,POLT,,,2017-01-24,Berkman Klein,
http://www.jc.md/,FEXP,,,2017-01-24,Berkman Klein,
http://n4.md/,NEWS,,,2017-01-24,Berkman Klein,
https://point.md/,COMM,,,2017-01-24,Berkman Klein,
https://point.md/ro/noutati/,NEWS,,,2017-01-24,Berkman Klein,
http://www.ziarulnational.md/,NEWS,,,2017-01-24,Berkman Klein,
http://radiochisinau.md/,NEWS,,,2017-01-24,Berkman Klein,
https://www.egalitate.md/,HUMR,,,2017-01-24,Berkman Klein,
http://www.realitatea.md/,NEWS,,,2017-01-24,Berkman Klein,
http://pridnestrovie.com/,HOST,,,2017-01-24,Berkman Klein,
http://avtopmr.com/,HOST,,,2017-01-24,Berkman Klein,
http://www.elim.md/,HUMR,,,2017-01-24,Berkman Klein,
https://moldovacrestina.md/,HUMR,,,2017-01-24,Berkman Klein,
http://www.moldova.org/,NEWS,,,2017-01-24,Berkman Klein,
http://qp.md/,HOST,,,2017-01-24,Berkman Klein,
http://pmrdom.com/,HOST,,,2017-01-24,Berkman Klein,
http://trackerpmr.com/forum/,HOST,,,2017-01-24,Berkman Klein,
https://torrentsmd.com/,P2P,,,2017-01-24,Berkman Klein,most popular in Moldova P2P tracker
http://baptist.org.md/ro/,HUMR,,,2017-01-24,Berkman Klein,
http://www.nouadreapta.org/,POLT,,,2017-01-24,Berkman Klein,
http://www.nouadreapta.md/,POLT,,,2017-01-24,Berkman Klein,
https://waplog.com/,DATE,,,2017-01-24,Berkman Klein,
http://vox.publika.md/,POLT,,,2017-01-24,Berkman Klein,
http://nm.md/,NEWS,,,2017-01-24,Berkman Klein,
http://www.gdm.md/,HUMR,,,2017-01-24,Berkman Klein,
http://www.mail.md/,EMAIL,,,2017-01-24,Berkman Klein,
