url,category_code,subcategory,date_added,source,notes
http://www.moemyanmar.net/,GOVT,,2016-10-17,"Citizen Lab, MIDO","Previously run by Ministry of Education, Website is still up and running"
http://www.moe-st.gov.mm/,GOVT,,2016-10-17,"Citizen Lab, MIDO",Ministry of Education (Science and Technology)
http://www.moe.gov.mm/,GOVT,,2016-10-17,"Citizen Lab, MIDO",Ministry of Education
http://epopasia.org/,CULTR,,2016-10-17,"Citizen Lab, MIDO",English e-learning website run by Thabyay Education Foundation
http://www.britishcouncil.org.mm/,IGO,,2016-10-17,"Citizen Lab, MIDO",British Council’s website
http://www.myanmar-network.net/,CULTR,,2016-10-17,"Citizen Lab, MIDO",English e-learning website run by British Council
http://www.myanmarmobileapp.com/,HOST,,2016-10-17,"Citizen Lab, MIDO",The site where people can download mobile app for free 
http://myanmarstudyabroad.org/,HOST,,2016-10-17,"Citizen Lab, MIDO",Information on Scholarships and studying abroad
http://www.thebesteng4u.com/,HOST,,2016-10-17,"Citizen Lab, MIDO",English learning blog
http://www.president-office.gov.mm/,GOVT,,2016-10-17,"Citizen Lab, MIDO",President Office
http://www.edeliveryservicemm.com/,COMM,,2016-10-17,"Citizen Lab, MIDO",Where people can send letter to President Office
http://www.moi.gov.mm/npe/km/,GOVT,,2016-10-17,"Citizen Lab, MIDO",State-owned newspaper
http://www.moi.gov.mm/,GOVT,,2016-10-17,"Citizen Lab, MIDO",Ministry of Information
http://www.moi.gov.mm/npe/mal/,GOVT,,2016-10-17,"Citizen Lab, MIDO",State-owned newspaper
http://www.statecounsellor.gov.mm/,GOVT,,2016-10-17,"Citizen Lab, MIDO",Website of State Counsellor of Myanmar
http://www.mofa.gov.mm/,GOVT,,2016-10-17,"Citizen Lab, MIDO",Ministry of Foreign Affairs
http://www.mip.gov.mm/,GOVT,,2016-10-17,"Citizen Lab, MIDO","Ministry of Labour, Immigration and Population"
http://www.evisa.moip.gov.mm/,GOVT,,2016-10-17,"Citizen Lab, MIDO",e-Visa website
http://www.engvid.com/,HOST,,2016-10-17,"Citizen Lab, MIDO",English learning blog
http://www.grad.niu.edu/burma/courses/index.shtml,CULTR,,2016-10-17,"Citizen Lab, MIDO",Learning Myanmar Culture and Language
http://www.lighthouse.com.mm/,SRCH,,2016-10-17,"Citizen Lab, MIDO",Web Portal
http://www.myanmarido.org/,HUMR,,2016-10-17,"Citizen Lab, MIDO",Local NGO’s website
http://www.myanmarconstitutionaltribunal.org.mm/my,SRCH,,2016-10-17,"Citizen Lab, MIDO",Constitution and Laws Database
http://myanmarbravo.com/,COMM,,2016-10-17,"Citizen Lab, MIDO",Myanmar Bravo Travel & Tour
https://myanmartevolution.com/,COMM,,2016-10-17,"Citizen Lab, MIDO",Art Tour and Gallery
http://www.pansodan.com/,COMM,,2016-10-17,"Citizen Lab, MIDO",Art Gallery
http://969movement.org/,HATE,,2016-10-17,"Citizen Lab, MIDO",969 Anti-Muslim Movement
http://www.buddhistpeacefellowship.org/,CULTR,,2016-10-17,"Citizen Lab, MIDO","Help connect Buddhists to social movements and social movement activists to Buddhist practice for mutual deepening and grounding, and to build meaningful community for those involved in this work."
http://www.myanmarmuslim.net/,NEWS,,2016-10-17,"Citizen Lab, MIDO","Muslim Media, News about Muslim in Myanmar"
http://www.thabyay.org/,HUMR,,2016-10-17,"Citizen Lab, MIDO",An Education Centre doing Citizen Empowerment programs
http://www.kamayutmedia.com/,NEWS,,2016-10-17,"Citizen Lab, MIDO",Online Media
http://hintharmedia.com/,NEWS,,2016-10-17,"Citizen Lab, MIDO",Online Media
http://chinworld.info/,NEWS,,2016-10-17,"Citizen Lab, MIDO",Chin Ethnic Media
http://www.chinlandguardian.com/,NEWS,,2016-10-17,"Citizen Lab, MIDO",Ethnic Media (Publish in English)
http://www.bnionline.net/,NEWS,,2016-10-17,"Citizen Lab, MIDO",Media Organisation
https://kt-ktimes.blogspot.com/,NEWS,,2016-10-17,"Citizen Lab, MIDO",Ethnic Media
http://www.csostat.gov.mm/,GOVT,,2016-10-17,"Citizen Lab, MIDO",Central Statistical Organisationn Myanmar by Ministry of Planning and Finance
http://monnews.org/,NEWS,,2016-10-17,"Citizen Lab, MIDO",Mon Ethnic Media
http://www.kachinnews.com/,NEWS,,2016-10-17,"Citizen Lab, MIDO",Kachin Ethnic Media
http://kicnews.org/,HUMR,,2016-10-17,"Citizen Lab, MIDO",Karen Information Center
http://www.kaladanpress.org/,NEWS,,2016-10-17,"Citizen Lab, MIDO",Bangala News Page
