url,category_code,subcategory_code,secondary_category_code,date_added,source,notes
http://alsaha.com/,POLT,,,2017-01-24,Berkman Klein,blocked
http://ar.wikipedia.org/,POLT,,,2017-01-24,Berkman Klein,
http://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%A5%D8%B3%D9%84%D8%A7%D9%85_%D9%81%D9%8A_%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9,POLT,,,2017-01-24,Berkman Klein,
http://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9,POLT,,,2017-01-24,Berkman Klein,
http://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%B5%D8%AD%D8%A7%D9%81%D8%A9_%D9%81%D9%8A_%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9,POLT,,,2017-01-24,Berkman Klein,
http://ar.wikipedia.org/wiki/%D8%AC%D9%8A%D8%B4_%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9,POLT,,,2017-01-24,Berkman Klein,
http://ar.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D9%84%D9%87_%D8%A8%D9%86_%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%B9%D8%B2%D9%8A%D8%B2,POLT,,,2017-01-24,Berkman Klein,
http://ar.wikipedia.org/wiki/%D9%82%D8%A7%D8%A6%D9%85%D8%A9_%D9%85%D9%84%D9%88%D9%83_%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9,POLT,,,2017-01-24,Berkman Klein,
http://en.wikipedia.org/wiki/Foreign_relations_of_Saudi_Arabia,POLT,,,2017-01-24,Berkman Klein,
http://en.wikipedia.org/wiki/Human_rights_in_Saudi_Arabia,POLT,,,2017-01-24,Berkman Klein,
http://en.wikipedia.org/wiki/Human_trafficking_in_Saudi_Arabia,POLT,,,2017-01-24,Berkman Klein,
http://en.wikipedia.org/wiki/Military_of_Saudi_Arabia,POLT,,,2017-01-24,Berkman Klein,
http://en.wikipedia.org/wiki/Muttawa,POLT,,,2017-01-24,Berkman Klein,
http://en.wikipedia.org/wiki/Saudi_Arabia,POLT,,,2017-01-24,Berkman Klein,
http://en.wikipedia.org/wiki/Status_of_religious_freedom_in_Saudi_Arabia,POLT,,,2017-01-24,Berkman Klein,
http://ibramancom.blogspot.com/,POLT,,,2017-01-24,Berkman Klein,
https://riyadhbureau.wordpress.com/,NEWS,,,2017-01-24,Berkman Klein,
http://saudijeans.org/,NEWS,,,2017-01-24,Berkman Klein,
http://www.alahssa-alkateef.com/,MILX,,,2017-01-24,Berkman Klein,
http://www.alhijazonline.com/,POLT,,,2017-01-24,Berkman Klein,blocked
http://www.alhramain.com/,POLT,,,2017-01-24,Berkman Klein,blocked
http://www.alkarbalaeia.net/,MINF,,,2017-01-24,Berkman Klein,
http://www.allahsassurance.com/,REL,,,2017-01-24,Berkman Klein,Blocked in the past
http://www.almktaba.com/,MILX,,,2017-01-24,Berkman Klein,
http://www.anhri.net/ifex/alerts/saudi/,HUMR,,,2017-01-24,Berkman Klein,
http://www.annabaa.org/,MINF,,,2017-01-24,Berkman Klein,
http://www.asseer.com/,MILX,,,2017-01-24,Berkman Klein,BLOCKED
http://www.islah.tv/,POLT,,,2017-01-24,Berkman Klein,
http://www.saudielection.com/,POLT,,,2017-01-24,Berkman Klein,
http://www.saudihr.org/,HUMR,,,2017-01-24,Berkman Klein,blocked
http://www.tajdeed.net/,POLT,,,2017-01-24,Berkman Klein,
