"url","category_code","date_added","source","notes"
"http://17.media/","MMED","2017-08-26","OONI partner",""
"http://asiafriendfinder.com/?lang=chinese","DATE","2017-08-25","OONI partner",""
"http://big5.falundafa.org/","REL","2017-08-26","OONI partner",""
"http://blog.cw.com.tw/","HOST","2017-08-26","OONI partner",""
"http://blog.udn.com/","HOST","2017-08-26","OONI partner",""
"http://chenfarm.com.tw/web/","COMM","2017-08-26","OONI partner",""
"http://covenantswatch.org.tw/","HUMR","2017-08-26","OONI partner",""
"http://doo.idv.tw/","DATE","2017-08-25","OONI partner",""
"http://e-info.org.tw/","NEWS","2017-08-26","OONI partner",""
"http://eastnews.tw/","NEWS","2017-08-26","OONI partner",""
"http://ek21.com.tw/","DATE","2017-08-25","OONI partner",""
"http://enews.com.tw/","NEWS","2017-08-26","OONI partner",""
"http://english.rti.org.tw/","NEWS","2017-08-25","OONI",""
"http://fapa.org/","MILX","2017-08-26","OONI partner",""
"http://fire.news/","POLR","2018-01-05","OONI partner","Political commentary by pro-unification groups"
"http://foaa.tahr.org.tw/","HUMR","2017-08-26","OONI partner",""
"http://freetaiwanparty.tw/","MILX","2017-08-26","OONI partner",""
"http://friend.top1069.com/","DATE","2017-08-25","OONI partner",""
"http://gamecar.com.tw/","GAME","2017-08-26","OONI partner",""
"http://gcaa.org.tw/","ENV","2017-08-26","OONI partner",""
"http://gd-park.org.tw/","ENV","2017-08-26","OONI partner",""
"http://green21.tw/org/","ENV","2017-08-26","OONI partner",""
"http://h5play.com.tw/games","GAME","2017-08-26","OONI partner",""
"http://hef.yam.org.tw/","HUMR","2017-08-26","OONI partner",""
"http://i3fresh.tw/","COMM","2017-08-26","OONI partner",""
"http://internationalnewsstation.tw/","NEWS","2017-08-26","OONI partner",""
"http://labor.ngo.tw/","HUMR","2017-08-26","OONI partner",""
"http://lotto.arclink.com.tw/","GMB","2017-08-25","OONI partner",""
"http://lotto.auzonet.com/","GMB","2017-08-25","OONI partner",""
"http://meetlove520.888bbs.tw/","PROV","2017-08-26","OONI partner",""
"http://mpa.artlife.tw/mall/","ENV","2017-08-26","OONI partner",""
"http://museum.228.org.tw/","HUMR","2017-08-26","OONI partner",""
"http://new.ctv.com.tw/","NEWS","2017-08-25","OONI",""
"http://news.cts.com.tw/","NEWS","2017-08-26","OONI partner",""
"http://news.ebc.net.tw/","NEWS","2017-08-26","OONI partner",""
"http://news.pts.org.tw/","NEWS","2017-08-26","OONI partner",""
"http://newtalk.tw/","NEWS","2017-08-26","OONI partner",""
"http://nonukeyesvote.tw/","ENV","2017-08-26","OONI partner",""
"http://nownews.nicegame.com.tw/","GAME","2017-08-26","OONI partner",""
"http://oshlink.org.tw/","HUMR","2017-08-26","OONI partner",""
"http://pansci.tw/","NEWS","2017-08-26","OONI partner",""
"http://photo.xuite.net/","MMED","2017-08-26","OONI partner",""
"http://pnn.pts.org.tw/main/","NEWS","2017-08-26","OONI partner",""
"http://praatw.org/","HUMR","2017-08-26","OONI partner",""
"http://presidentlee.tw/","MILX","2017-08-26","OONI partner",""
"http://radicalwings.tw/","MILX","2017-08-26","OONI partner",""
"http://shop.cooleagle.com.tw/v2/official","COMM","2017-08-26","OONI partner",""
"http://shopping.friday.tw/","COMM","2017-08-26","OONI partner",""
"http://shopping.pchome.com.tw/","COMM","2017-08-26","OONI partner",""
"http://tagv.mohw.gov.tw/","LGBT","2017-08-25","OONI partner",""
"http://taiwan.shien-dao.com.tw/","REL","2017-08-26","OONI partner",""
"http://taiwanreview.nat.gov.tw/","NEWS","2017-08-25","OONI",""
"http://tasat.org.tw/","HUMR","2017-08-26","OONI partner",""
"http://technews.tw/","NEWS","2017-08-26","OONI partner",""
"http://teia.tw/zh-hant","ENV","2017-08-26","OONI partner",""
"http://tepca.org.tw/","ENV","2017-08-26","OONI partner",""
"http://tgqraa.org/","HUMR","2017-08-26","OONI partner",""
"http://tps-taiwanpassportsticker.com/","MILX","2017-08-26","OONI partner",""
"http://treesparty.tw/","ENV","2017-08-26","OONI partner",""
"http://tw.beanfun.com/","GAME","2017-08-26","OONI partner",""
"http://tw.blizzard.com/zh-tw/","GAME","2017-08-26","OONI partner",""
"http://tw.gamagic.com/","GAME","2017-08-26","OONI partner",""
"http://tw.hehagame.com/","GAME","2017-08-26","OONI partner",""
"http://tw.pikolive.com/","GAME","2017-08-26","OONI partner",""
"http://tw.taobao.com/market/tw/twxz.php","COMM","2017-08-26","OONI partner",""
"http://twycc.org.tw/","ENV","2017-08-26","OONI partner",""
"http://udn.com/","NEWS","2017-08-25","OONI",""
"http://udn.com/news/index","NEWS","2017-08-26","OONI partner",""
"http://unitas.udngroup.com.tw/","CULTR","2017-08-26","OONI partner",""
"http://vlog.xuite.net/","MMED","2017-08-26","OONI partner",""
"http://wutong.org.tw/","ENV","2017-08-26","OONI partner",""
"http://www.100basket.com/","COMM","2017-08-26","OONI partner",""
"http://www.113.com.tw/","GAME","2017-08-26","OONI partner",""
"http://www.1949er.org/","MILX","2017-08-26","OONI partner",""
"http://www.58play.com.tw/","GAME","2017-08-26","OONI partner",""
"http://www.61.com.tw/","GAME","2017-08-26","OONI partner",""
"http://www.8591.com.tw/","COMM","2017-08-26","OONI partner",""
"http://www.88box.com/","GAME","2017-08-26","OONI partner",""
"http://www.917play.com.tw/","GAME","2017-08-26","OONI partner",""
"http://www.adaymag.com/","NEWS","2017-08-26","OONI partner",""
"http://www.aec.gov.tw/","GOVT","2017-08-26","OONI partner",""
"http://www.airclean.tw/","ENV","2017-08-26","OONI partner",""
"http://www.alibaba-tw.com/","COMM","2017-08-26","OONI partner",""
"http://www.anyongfresh.com/anyongfresh/","COMM","2017-08-26","OONI partner",""
"http://www.apc.gov.tw/","GOVT","2017-08-26","OONI partner",""
"http://www.appledaily.com.tw/","NEWS","2017-08-25","OONI",""
"http://www.appledaily.com.tw/realtimenews/section/new/","NEWS","2017-08-26","OONI partner",""
"http://www.asap.com.tw/","COMM","2017-08-26","OONI partner",""
"http://www.aseed.org.tw/","ENV","2017-08-26","OONI partner",""
"http://www.asf.com.tw/","COMM","2017-08-26","OONI partner",""
"http://www.awakening.org.tw/chhtml/index.asp","HUMR","2017-08-26","OONI partner",""
"http://www.bnext.com.tw/","NEWS","2017-08-26","OONI partner",""
"http://www.books.com.tw/","COMM","2017-08-26","OONI partner",""
"http://www.buylocal.tw/","COMM","2017-08-26","OONI partner",""
"http://www.cahr.org.tw/","HUMR","2017-08-26","OONI partner",""
"http://www.carrefour.com.tw/","COMM","2017-08-26","OONI partner",""
"http://www.cbc.gov.tw/mp.asp?mp=1","GOVT","2017-08-26","OONI partner",""
"http://www.cdnews.com.tw/cdnews_site/","NEWS","2017-08-25","OONI",""
"http://www.cdns.com.tw/","NEWS","2017-08-26","OONI partner",""
"http://www.cec.gov.tw/","GOVT","2017-08-26","OONI partner",""
