"url","category_code","date_added","source","notes"
"http://10minut.info/","NEWS","2017-01-24","Berkman Klein",""
"http://10svodok.su/","NEWS","2017-12-12","OONI","Included in blocklist: http://inau.ua/sites/default/files/file/1711/vhidnyy_no_243_vid_28.11.2017.pdf"
"http://112.ua/","NEWS","2017-01-24","Berkman Klein",""
"http://1c.ru/","COMM","2018-02-23","igorv","Software company"
"http://1tvcrimea.ru/","NEWS","2018-02-23","igorv",""
"http://24tv.ua/","NEWS","2014-04-15","citizenlab",""
"http://2ch.hk/","PORN","2014-04-15","citizenlab",""
"http://3a-pycb.livejournal.com/","CULTR","2014-04-15","citizenlab",""
"http://6ott-mit-uns.livejournal.com/","CULTR","2014-04-15","citizenlab",""
"http://72.14.203.104/","SRCH","2014-04-15","citizenlab",""
"http://72.14.203.104/search?hl=zh-CN&q=cache:http://www.sh.xcmc.com.cn/","SRCH","2014-04-15","citizenlab",""
"http://7days-ua.com/","NEWS","2017-01-24","Berkman Klein",""
"http://a-burlaka.livejournal.com/","NEWS","2014-04-15","citizenlab",""
"http://a-osipoff.livejournal.com/","GOVT","2014-04-15","citizenlab",""
"http://a-sadov.livejournal.com/","GOVT","2014-04-15","citizenlab",""
"http://aanalitik.com.ua/","MILX","2017-01-24","Berkman Klein",""
"http://abclider.com/","PORN","2014-04-15","citizenlab",""
"http://abcnews.go.com/","NEWS","2014-04-15","citizenlab",""
"http://adengo.ru/","NEWS","2014-04-15","citizenlab",""
"http://ags.demokratia.ru/","POLR","2014-04-15","citizenlab",""
"http://alexabarboss.blogspot.com/","NEWS","2014-04-15","citizenlab",""
"http://alstrangers.livejournal.com/","MILX","2014-04-15","citizenlab",""
"http://alternate-politics.info/","MILX","2017-01-24","Berkman Klein",""
"http://alternatio.org/","MILX","2017-01-24","Berkman Klein",""
"http://amnesty.org.ru/","HUMR","2014-04-15","citizenlab",""
"http://amvrosievka.dn.ua/","NEWS","2017-09-28","igorv","Blocked in Eastern Ukraine"
"http://anaitiss.livejournal.com/","GOVT","2014-04-15","citizenlab",""
"http://analitica.kiev.ua/","NEWS","2014-04-15","citizenlab",""
"http://anekdot-blogger.blogspot.com/","NEWS","2014-04-15","citizenlab",""
"http://anna-news.info/","NEWS","2017-12-12","OONI","Included in blocklist: http://inau.ua/sites/default/files/file/1711/vhidnyy_no_243_vid_28.11.2017.pdf"
"http://anonymizer.report.ru/","ANON","2014-04-15","citizenlab",""
"http://anonymizer.report.ru/_5FolderID_21226_.html","ANON","2014-04-15","citizenlab",""
"http://another-kashin.livejournal.com/","GOVT","2014-04-15","citizenlab",""
"http://ansardin.wordpress.com/","MILX","2014-04-15","citizenlab",""
"http://antac.org.ua/","POLT","2017-01-24","Berkman Klein",""
"http://anti-maidan.com/","MILX","2017-01-24","Berkman Klein",""
"http://antifashist.com/","NEWS","2017-12-12","OONI","Included in blocklist: http://inau.ua/sites/default/files/file/1711/vhidnyy_no_243_vid_28.11.2017.pdf"
"http://antijob.mahost.org/","POLR","2014-04-15","citizenlab",""
"http://antimaidan.org/","MILX","2017-01-24","Berkman Klein",""
"http://antimaydan.info/","NEWS","2017-12-12","OONI","Included in blocklist: http://inau.ua/sites/default/files/file/1711/vhidnyy_no_243_vid_28.11.2017.pdf"
"http://antisionizm.info/","HATE","2017-01-24","Berkman Klein",""
"http://apostrophe.ua/","NEWS","2017-01-24","Berkman Klein",""
"http://arestant.msk.ru/","HUMR","2014-04-15","citizenlab",""
"http://artem.gayclub.ru/","LGBT","2014-04-15","citizenlab",""
"http://arxiv.ruckp.org/","ALDR","2014-04-15","citizenlab",""
"http://ask.fm/","PLATFORM","2017-01-24","Berkman Klein","added this as it's super-popular in Ukraine"
"http://aukro.ua/","COMM","2017-01-24","Berkman Klein",""
"http://avante.at.ua/","GAYL","2017-01-24","Berkman Klein",""
"http://awvestnik.narod.ru/","HUMR","2014-04-15","citizenlab",""
"http://azart.net.ua/","GMB","2014-04-15","citizenlab",""
"http://azartplay.com/","GMB","2014-04-15","citizenlab",""
"http://azatlyk-vatan.blogspot.com/","HUMR","2014-04-15","citizenlab",""
"http://azov.org.ua/","FREL","2017-01-24","Berkman Klein",""
"http://azov.press/","POLT","2017-01-24","Berkman Klein",""
"http://ba.org.ua/","POLT","2017-01-24","Berkman Klein",""
"http://bagnet.org/","NEWS","2014-04-15","citizenlab",""
"http://balashov.com.ua/","NEWS","2014-04-15","citizenlab",""
"http://baltazar.org.ua/","P2P","2017-01-24","Berkman Klein","blocked by Ukraine"
"http://banderivets.org.ua/","HAL","2017-01-24","Berkman Klein",""
"http://baptist.lviv.ua/","REL","2017-01-24","Berkman Klein",""
"http://beon.ru/","HOST","2014-04-15","citizenlab",""
"http://bestmaza.biz/","ALDR","2014-04-15","citizenlab",""
"http://betway.com/","GMB","2014-04-15","citizenlab",""
"http://bh42.blogspot.com/","NEWS","2014-04-15","citizenlab",""
"http://bilozerska.livejournal.com/","HAL","2017-01-24","Berkman Klein",""
"http://bitchx.ru/","NEWS","2014-04-15","citizenlab",""
"http://blacksea.tv/","NEWS","2017-09-28","igorv","Blocked in Eastern Ukraine"
"http://blanki.net.ua/","COMM","2014-04-15","citizenlab",""
"http://blog-donbassa.com/","MILX","2017-01-24","Berkman Klein",""
"http://blog.i.ua/","NEWS","2014-04-15","citizenlab",""
"http://blog.kp.ru/","HOST","2014-04-15","citizenlab",""
"http://blog.liga.net/","NEWS","2014-04-15","citizenlab",""
"http://blog.megaforum.ru/","HOST","2014-04-15","citizenlab",""
"http://blog.meta.ua/","NEWS","2014-04-15","citizenlab",""
"http://blog.polemika.com.ua/","NEWS","2014-04-15","citizenlab",""
"http://blog.ru/","HOST","2014-04-15","citizenlab",""
"http://blogroll.ru/","HOST","2014-04-15","citizenlab",""
"http://blogs.gde.ru/","HOST","2014-04-15","citizenlab",""
"http://blogs.kafanews.com/blog","NEWS","2014-04-15","citizenlab",""
"http://blogs.korrespondent.net/","NEWS","2014-04-15","citizenlab",""
"http://blogs.lb.ua/","NEWS","2014-04-15","citizenlab",""
"http://blogs.mail.ru/","HOST","2014-04-15","citizenlab",""
"http://blogs.pravda.com.ua/","NEWS","2014-04-15","citizenlab",""
"http://blogs.privet.ru/","HOST","2014-04-15","citizenlab",""
"http://blogs.voanews.com/","NEWS","2014-04-15","citizenlab",""
"http://blogs.wsj.com/","NEWS","2014-04-15","citizenlab",""
"http://blogs.yandex.ru/","HOST","2014-04-15","citizenlab",""
"http://blogseo.ru/","HOST","2014-04-15","citizenlab",""
"http://blogsochi.ru/","NEWS","2014-04-15","citizenlab",""
"http://blogspot.com/","NEWS","2014-04-15","citizenlab",""
"http://board.gayua.com/","DATE","2017-01-24","Berkman Klein",""
"http://borgie.net/","MISC","2014-04-15","citizenlab",""
"http://boys-lvov.at.ua/","GAYL","2017-01-24","Berkman Klein",""
"http://bride.ru/","DATE","2014-04-15","citizenlab",""
"http://buddhism.org.ru/","REL","2014-04-15","citizenlab",""
"http://buddhist.ru/","REL","2014-04-15","citizenlab",""
"http://buro-perevodov14.jino-net.ru/","COMT","2014-04-15","citizenlab",""
"http://c-eho.info/","NEWS","2018-03-15","ksenia","Crimean pro-Russian website from new ministry of information blocklist proposal"
"http://c-pravda.ru/","NEWS","2018-02-23","igorv",""
"http://cannabisnature.com/","ALDR","2014-04-15","citizenlab",""
"http://caseofpussyriot.livejournal.com/","NEWS","2014-04-15","citizenlab",""
"http://cassad.net/","MILX","2017-01-24","Berkman Klein",""
"http://ccl.org.ua/","HUMR","2017-01-24","Berkman Klein",""
"http://cedem.org.ua/","POLT","2017-01-24","Berkman Klein",""
"http://censor.net.ua/","NEWS","2014-04-15","citizenlab",""
