"url","category_code","date_added","source","notes"
"http://184.73.254.72/","NEWS","2014-04-15","citizenlab",""
"http://9binh.com/","NEWS","2014-04-15","citizenlab",""
"http://afreevietnam.blogspot.com/","POLR","2014-04-15","citizenlab",""
"http://anhbasam.wordpress.com/","NEWS","2014-04-15","citizenlab",""
"http://anhbasg.blogspot.ca/","NEWS","2014-04-15","citizenlab",""
"http://anhduong.net/","HUMR","2014-04-15","citizenlab",""
"http://anhsangmoi2015.com/","NEWS","2014-04-15","citizenlab",""
"http://baotoquoc.com/","NEWS","2014-04-15","citizenlab",""
"http://bcdlldb.com/","CULTR","2014-04-15","citizenlab",""
"http://beoth.blogspot.com/","POLT","2017-01-24","Berkman Klein","Pro-Regime; Beo Hong"
"http://bloc8406vn.blogspot.com/","POLR","2014-04-15","citizenlab",""
"http://blog.nguoiaolam.net/2012/06/tong-hop-cach-vao-bloggerblogspot-du-bi.html","ANON","2017-01-24","Berkman Klein","Blog thiet ke"
"http://bongbvt.blogspot.ca/","HUMR","2017-01-24","Berkman Klein","recheck category; Bui Van Bong (.ca)"
"http://bongbvt.blogspot.com/","HUMR","2017-01-24","Berkman Klein","recheck category; Bui Van Bong"
"http://boxitvn.blogspot.com/","HUMR","2017-01-24","Berkman Klein","recheck category; Bauxite Vietnam"
"http://bshohai.blogspot.com/","NEWS","2014-04-15","citizenlab",""
"http://chandungquyenluc.blogspot.ca/","POLT","2017-01-24","Berkman Klein","Pro-Regime"
"http://chandungquyenluc.blogspot.com/","POLT","2017-01-24","Berkman Klein","Pro-Regime"
"http://chanlyonline.com/","NEWS","2017-01-24","Berkman Klein",""
"http://chinhdangvu.blogspot.com/","GOVT","2014-04-15","citizenlab",""
"http://chinhdangvu.blogspot.com/search/label/Spratly%20Islands","GOVT","2014-04-15","citizenlab",""
"http://culangcat.blogspot.com/","HUMR","2017-01-24","Berkman Klein","recheck category; Cu lang cat"
"http://cuutunhanluongtam.org/","HUMR","2017-01-24","Berkman Klein",""
"http://dactrung.net/","REL","2014-04-15","citizenlab",""
"http://danchutudochovietnam.blogspot.com/","NEWS","2014-04-15","citizenlab",""
"http://danlambaovn.blogspot.ca/","NEWS","2014-04-15","citizenlab",""
"http://danlambaovn.blogspot.com/","HUMR","2017-01-24","Berkman Klein","recheck category; Dan lam bao"
"http://danlentieng.net/","NEWS","2014-04-15","citizenlab",""
"http://danluanvietnam.wordpress.com/","POLR","2014-04-15","citizenlab",""
"http://dannews.info/category/the-su/","HUMR","2017-01-24","Berkman Klein","recheck category"
"http://danoan2012.blogspot.com/","HUMR","2017-01-24","Berkman Klein","recheck category; Dan oan"
"http://danoanbuihang.blogspot.com/","HUMR","2017-01-24","Berkman Klein","recheck category; Bui Thi Minh Hang"
"http://danquyen.com/","NEWS","2014-04-15","citizenlab",""
"http://danquyenvn.blogspot.com/","HUMR","2017-01-24","Berkman Klein","recheck category; Dan quyen"
"http://dantri.com.vn/","NEWS","2014-04-15","citizenlab",""
"http://dantri.com.vn/c728/s728-490180/hon-200-website-vn-bi-hack-chi-trong-1-dem.htm","HACK","2014-04-15","citizenlab",""
"http://datviet.free.fr/","POLR","2014-04-15","citizenlab",""
"http://dcvblogs.com/vuhuusan/","GOVT","2014-04-15","citizenlab",""
"http://diendanctm.blogspot.com/","NEWS","2014-04-15","citizenlab",""
"http://dmoz.org/","REL","2014-04-15","citizenlab",""
"http://dmoz.org/Society/Religion_and_Spirituality/Cao_Dai/","REL","2014-04-15","citizenlab",""
"http://doithoaionline.wordpress.com/","NEWS","2014-04-15","citizenlab",""
"http://donga01.blogspot.com/","NEWS","2014-04-15","citizenlab",""
"http://download123.vn/cach-vao-blog-moi-nhat-hieu-qua-nhat-57-news.aspx","ANON","2017-01-24","Berkman Klein","Download 123"
"http://ducme.tv/","REL","2014-04-15","citizenlab",""
"http://dungday.tripod.com/","POLR","2014-04-15","citizenlab",""
"http://en.wikipedia.org/wiki/Spratly_Islands_dispute","GOVT","2014-04-15","citizenlab",""
"http://english.vovnews.vn/","NEWS","2014-04-15","citizenlab",""
"http://forum.bkav.com.vn/","GRP","2014-04-15","citizenlab",""
"http://forum.bkav.com.vn/showthread.php?27505-Giai-ma-hien-tuong-website-vn-bi-hack-tang-dot-bien","HACK","2014-04-15","citizenlab",""
"http://goken.free.fr/","HUMR","2014-04-15","citizenlab",""
"http://googletienlang2014.blogspot.ca/","HUMR","2017-01-24","Berkman Klein","recheck category; Tien Lang (.ca)"
