"url","category_code","date_added","source","notes"
"http://allafrica.com/zimbabwe/","NEWS","2018-04-10","OONI",""
"http://ccjphre.org.zw/","REL","2018-02-01","Community member",""
"http://celebrate.org/","REL","2016-07-22","OONI","url provided by OONI partner"
"http://ewn.co.za/2016/07/14/Hundreds-march-to-Zim-embassy-in-PTA/","POLR","2016-07-22","OONI",""
"http://ewn.co.za/2016/07/14/Zimbabweans-celebrate-the-release-of-Pastor-Evan-Mawarire/","POLR","2016-07-22","OONI",""
"http://ewn.co.za/2016/07/18/Zimbabwean-citizens-have-suffered-for-too-long/","POLR","2016-07-22","OONI",""
"http://ewn.co.za/Topic/Evan-Mawarire/","POLR","2016-07-22","OONI",""
"http://faraitoday.com/","CULTR","2018-04-10","OONI",""
"http://galz.org/","LGBT","2016-07-22","OONI","url provided by OONI partner"
"http://herzimbabwe.co.zw/","NEWS","2017-05-29","Digital Society of Zimbabwe",""
"http://kalabashmedia.com/","CULTR","2016-07-22","OONI","url provided by OONI partner"
"http://kwayedza.co.zw/","NEWS","2018-04-10","OONI",""
"http://manicapost.co.zw/","NEWS","2018-04-10","OONI",""
"http://mdc.co.zw/","POLR","2018-04-10","OONI",""
"http://mdundo.com/a/34159","CULTR","2018-04-10","OONI",""
"http://mg.co.za/article/2016-07-12-thisflag-pastor-evan-mawarire-summoned-by-zimbabwean-police/","POLR","2016-07-22","OONI",""
"http://nehandaradio.com/","NEWS","2018-04-10","OONI",""
"http://nehandaradio.com/2012/11/18/gukurahundi-massacres-how-it-all-began-part-1/","HUMR","2018-04-10","OONI",""
"http://nehandaradio.com/tag/manzou-farm/","HUMR","2018-04-10","OONI",""
"http://punchbass.com/because-i-am-being-lgbt-in-zimbabwe-2016/","LGBT","2018-04-10","OONI",""
"http://rabisonshumba.com/","CULTR","2018-04-10","OONI",""
"http://religionnews.com/2016/07/21/how-thisflag-pastor-evan-mawarire-used-facebook-to-shut-down-zimbabwe/","POLR","2016-07-22","OONI",""
"http://saharareporters.com/2016/07/06/protests-shut-zimbabwe-down-mugabe-government-throttles-social-media-stave-criticism/","POLR","2016-07-22","OONI",""
"http://source.co.zw/category/economy/zimbabwe/","NEWS","2018-01-27","Community member",""
"http://theotherfoundation.org/wp-content/uploads/2017/02/Canaries_Zimbabwe.pdf","LGBT","2018-04-10","OONI",""
"http://thisflag.co.zw/","POLR","2017-05-29","Digital Society of Zimbabwe",""
"http://tizim.org/","POLR","2018-04-10","OONI",""
"http://viomakcharitymusic.com/","CULTR","2018-04-10","OONI","Context: https://en.wikipedia.org/wiki/Viomak"
"http://www.263chat.com/","NEWS","2016-07-22","OONI","url provided by OONI partner"
"http://www.3-mob.com/","CULTR","2016-07-22","OONI","url provided by OONI partner"
"http://www.aljazeera.com/programmes/countingthecost/2014/02/robert-mugabe-economic-legacy-201422010939634296.html/","POLR","2016-07-22","OONI",""
"http://www.b-metro.co.zw/","NEWS","2018-04-10","OONI",""
"http://www.bbc.com/afrique/","NEWS","2017-07-19","BBC",""
"http://www.bbc.com/news/world-africa-14113511","NEWS","2018-04-10","OONI",""
